# Source: https://github.com/fvrmatteo/oracle-synthesis-meets-equality-saturation
# License: not specified
# expression	ground_truth
~(x+y+(~(x+y+x+y))+-z)	(x+y+z)
(x | 0x772dfbdd) - ((x & 0x88d20422) | 0x500c1800)	-
-2781836879*x**31 + 1952895073*x**30 - 815451503*x**29 + 2082096865*x**28 - 2929853839*x**27 + 2314864449*x**26 - 3440102127*x**25 + 3357991393*x**24 + 3960591793*x**23 - 513651583*x**22 + 1682947153*x**21 + 3217036577*x**20 - 2668394767*x**19 - 1061789247*x**18 - 2373405295*x**17 - 3560582559*x**16 - 394328015*x**15 - 2942458111*x**14 - 2173239599*x**13 - 156213343*x**12 - 1934616207*x**11 - 3595731903*x**10 - 520038383*x**9 - 3255599903*x**8 - 4117775695*x**7 - 2358189695*x**6 - 3412901551*x**5 - 2698761695*x**4 - 2007897103*x**3 - 1323575615*x**2 - 3369977199*x - 3841300938	-
(((x ^ y) + 2 * (x & y)) * 39 + 23) * 151 + 111	(x+y)
(x | y) + y - (~x & y)	(x+y)
(x | y) - y + (~x & y)	(x^y)
(x & ~y) | (~x & y)	(x^y)
(x ^ y) + y - (~x & y)	(x|y)
-(x | y) + y + x	(x&y)
(237 * (45 * g + (174 * g | 34) * 229 + 194 - 247) & 255)	(x ^ 0x5c)
((z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0xF8 + (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0x30 + (z + (x & y) * 0x2 + (x ^ y)) * 0x11 + 0x84) * ((z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0xF8 + (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0x30 + (z + (x & y) * 0x2 + (x ^ y)) * 0x11 + 0x84) * ((z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0xF8 + (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0x30 + (z + (x & y) * 0x2 + (x ^ y)) * 0x11 + 0x84) * 0x48 + ((z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0xF8 + (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0x30 + (z + (x & y) * 0x2 + (x ^ y)) * 0x11 + 0x84) * ((z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0xF8 + (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0x30 + (z + (x & y) * 0x2 + (x ^ y)) * 0x11 + 0x84) * 0x70 + ((z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0xF8 + (z + (x & y) * 0x2 + (x ^ y)) * (z + (x & y) * 0x2 + (x ^ y)) * 0x30 + (z + (x & y) * 0x2 + (x ^ y)) * 0x11 + 0x84) * 0xF1 + 0xBC	-
((z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x48 + (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x88 + (z ^ ((x & z) + (z + -y) * (x | y))) * 0xF3 + 0xA6) * ((z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x48 + (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x88 + (z ^ ((x & z) + (z + -y) * (x | y))) * 0xF3 + 0xA6) * ((z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x48 + (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x88 + (z ^ ((x & z) + (z + -y) * (x | y))) * 0xF3 + 0xA6) * 0x78 + ((z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x48 + (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x88 + (z ^ ((x & z) + (z + -y) * (x | y))) * 0xF3 + 0xA6) * ((z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x48 + (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x88 + (z ^ ((x & z) + (z + -y) * (x | y))) * 0xF3 + 0xA6) * 0xB8 + ((z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x48 + (z ^ ((x & z) + (z + -y) * (x | y))) * (z ^ ((x & z) + (z + -y) * (x | y))) * 0x88 + (z ^ ((x & z) + (z + -y) * (x | y))) * 0xF3 + 0xA6) * 0xFB + 0x1E	-
(((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0xA8 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x68 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x93 + 0x26) * (((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0xA8 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x68 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x93 + 0x26) * (((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0xA8 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x68 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x93 + 0x26) * 0x18 + (((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0xA8 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x68 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x93 + 0x26) * (((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0xA8 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x68 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x93 + 0x26) * 0xD8 + (((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0xA8 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x68 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + -y) * (x | y) * 0x3)) * 0x93 + 0x26) * 0x5B + 0xDE	((z*0x7)^(((x&z)*0x2)+(((z-y)*(x|y))*0x3)))
(((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xE4 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0x2E + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xB1 + 0xAA) * (((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xE4 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0x2E + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xB1 + 0xAA) * (((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xE4 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0x2E + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xB1 + 0xAA) * 0x64 + (((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xE4 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0x2E + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xB1 + 0xAA) * (((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xE4 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0x2E + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xB1 + 0xAA) * 0x7A + (((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xE4 + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0x2E + ((z * 0x7) ^ ((x & z) * 0x2 + (z + 0xB0) * (x | 0x50) * 0x3)) * 0xB1 + 0xAA) * 0x99 + 0x1E	-
(195 + 36*x + 220*y + 72*~(x | ~y) + 220*(x ^ y) + (163 + 164*x + 92*y + 72*~(x | ~y) + 92*(x ^ y))* (232 + 224*x + 32*y + 192*~(x | ~y) + 32*(x ^ y)))	(constant 123)
f	0x87654321
C	-
(x|0x10)-(~x&0x10)-(x&0xFFFFFFFFFFFFFFEF)	-
(x|0x10)-(~x&0x10)-(x&0xEF)	-
-(~0x10)+(x|~0x10)+(x|~0x10)+(x|0x10)+1+(-(x&0x10)-(x&0x10))	-
4*(x|(-6*(x&0x37)-7*(x&~0x37)+2*x+5*~(x&~x)-5*~(x|0x37)-4*~(x|~0x37)))-6*(x^0x37)+3*(x&~0x37)-3*(x&(-6*(x&0x37)-7*(x&~0x37)+2*x+5*~(x&~x)-5*~(x|0x37)-4*~(x|~0x37)))	-
((((~((-((~0x94)|(~((~((~((~(-((~0x94)+1)))|0xff))|(~((-((~0x94)+1))|0x94))))&((~((~((~(-((~0x94)+1)))|0xff))|(((~(~((~(-((~0x94)+1)))|0xff)))&0xff)&(~((-((~0x94)+1))|0x94)))))|(~(((~(~((~(((-(~((~(-((~0x94)+1)))|0xff)))+(~(((-((~0x94)+1))|0x94)&(~((((-((~0x94)+1))|0x94)+y)&(~(((-((~0x94)+1))|0x94)|y)))))))&(~(~(~((((((~0x94)+1)+((~(1|1))&1))*((y^1)|(~(y&2))))|0x94)|((0x94+(-(~((~(0x94&2))|2))))&(-0x94))))))))&(~(~((((-(~((~(-((~0x94)+1)))|0xff)))+0xff)^(~((-((~0x94)+1))|0x94)))&(~(~((-((~0x94)+1))|0x94)))))))))+0xff)&1)))))))&1))&(0x94&z))+((y*z)+(-(~((z|(~(z&2)))|(-(~((z|(~(z&2)))|(-((z|(~(z&2)))|1))))))))))^(~((~((y+(~(((-0x94)+(-((-(0x94^(~0x94)))&((-(0x94^(~0x94)))|1))))|((~((~(0x94|1))&1))+1))))&((y+0x94)^(-((z-0x94)*((z-0x94)+(~((z-0x94)|((z-0x94)&(((-(z-0x94))+1)|2))))))))))&(~((y+0x94)|(z-0x94))))))	-
(((~(((-(~((~(0x48+(-((((~((~0x48)&((~0x48)|2)))^(~(0x48&((~(((~((~(((~(0x48&2))|0x48)^(~(((~(0x48&2))|0x48)|((-((-(-((~(0x48&2))|0x48)))+(-(~(-0xff)))))+1)))))&1))&(-((~((~(0x48&2))|0x48))&1)))&1))+(-((~((~(0x48&2))|0x48))&1))))))^(~((y^(y+0xfe))&1)))+(-y)))))&((~((0x48+(-((((~((~0x48)&((~0x48)|2)))^(~(0x48&((~(((~((~(((~(0x48&2))|0x48)^(~(((~(0x48&2))|0x48)|((-((~(0x48&2))|0x48))+0xff)))))&1))&(-((~((~(0x48&2))|0x48))&1)))&1))+(-((~((~(0x48&2))|0x48))&1))))))^(~((y^(y+0xfe))&1)))+(-y))))|2))^2))))+(-z))+0xfe))+(~(-(0xff+2))))+0xff)	-
(x|0x84)*2-(x^0x84)	(x+0x84)
-9*~(x&~x)+9*(x&~y)+18*(x&y)	(0xf7*((~x)-(x&y)))
1*y-1*~(x&~x)-5*~(x|y)	((((x|y)*0x5)+0x6)+y)
3*(x^y)-3*y-9*(x&~y)	(0x3*((y-x)-(x|y)))
6*~y+3*~(x^y)-6*x	((0x6*((~x)-y))+((~(x^y))*0x3))
-1*~(x&~y)-3*(x^y)+4*~(x|~y)	((y-x)-((~y)+(x|y)))
3*y+6*(x|~y)-6*~(x&~x)	((((~x)&y)*0xfa)+(y*0x3))
1*(x^y)-1*y+1*~(x|y)+2*(x&y)	((~y)+(x&y))
6*~(x&~y)-3*~(x&~x)-3*(x|y)+6*(x&~y)	(0x3*(~(x|y)))
-2*~(x&y)-1*(x|~y)+3*~(x|y)+2*(x&~y)	((-y)-(x^y))
1*y+7*(x^y)+7*~(x|y)+6*(x&y)	((y-(x&y))+0xf9)
4*~(x&y)-1*~x-4*~(x|y)-5*(x&~y)	((0x4*y)-(~((x&y)*0xfd)))
-1*~(x&~y)+9*~(x^y)+1*~(x|~y)-8*(x&y)	-
-1*(x|~y)+1*(x^y)-8*y+7*~(x|~y)	-
-1*~x-3*~(x&y)+4*~(x|~y)+2*(x&~y)	(((0x3*(x|y))+y)+0x4)
-1*~(x^y)-1*(x|~y)-2*~(x|~y)-1*(x&~y)	(0x2)
-9*x+5*~(x|~y)+8*(x&~y)+14*(x&y)	((y*0x6)-(x|y))
6*~x+2*~(x&~y)-2*~(x&~x)+2*(x&~y)	((~x)*0x6)
1*(x|y)-3*~x+3*~(x|~y)-1*(x&~y)	(y-(0x3*(~(x|y))))
-1*y+8*x+1*~(x&~y)-8*(x&~y)	((0x8*(x&y))+(~(x|y)))
-3*(x^y)-1*(x|y)+4*~(x&~x)-3*(x&y)	(0x4*(~(x|y)))
-3*x-7*~(x^y)-7*~(x|~y)+3*(x&y)	(((x-(x&y))*0x4)+0x7)
-2*(x|~y)-7*~x+9*~(x|y)+7*~(x|~y)	(-(x+x))
1*x+3*~y-12*~(x|y)-4*(x&~y)	((x&y)+(0xf7*(~(x|y))))
1*~x-1*~(x&~x)-8*~(x|y)+1*(x&y)	(((0xf9*(~(x|y)))+y)+0x1)
1*(x^y)+3*~x-2*~(x&y)-2*~(x|~y)	((~x)-(x^y))
-6*~(x^y)+1*~y-1*~(x&~x)+7*(x&y)	(((0xf9*(~(x|y)))+(~(x^y)))-y)
-2*~(x&~x)-2*~x+4*~(x|y)+4*~(x|~y)	(-(x+x))
-7*(x^y)+8*(x|y)-1*~(x|~y)+4*(x&~y)	((0x3*(x&y))+(0x5*x))
6*~(x&~x)-9*(x^y)+9*~(x|~y)+3*(x&~y)	((-((~x)|y))*0xfa)
-1*~(x&~y)+1*~x+6*~(x|~y)+7*(x&y)	(0x6*y)
-1*y-3*(x^y)+4*~(x|~y)+2*(x&~y)	(-x)
8*(x^y)-~x-8*~(x|~y)-(x&y)	((0x9*(x-(x&y)))+0x1)
-9*(x|~y)+17*~(x|y)+14*(x&~y)+6*(x&y)	((x*0xfd)-((~y)*0xf8))
1*(x^y)-4*~(x^y)+5*~(x|y)+4*(x&y)	(~(x&y))
5*~(x&~x)-4*(x|y)-2*~(x|y)-1*(x&~y)	(((~(x|y))*0x3)+y)
-1*(x|y)-8*y-9*(x^y)+18*~(x|~y)+10*(x&~y)	((x&y)*0xf7)
-2*~(x&~y)-8*~(x&~x)+11*~(x|y)+10*~(x|~y)+9*(x&~y)	((~y)+(0xf6*(x&y)))
-1*x+7*~(x|y)+7*~(x|~y)+7*(x&~y)+7*(x&y)	(0xf9-x)
8*(x^y)+4*~(x&y)-6*~(x&~y)-6*~(x|~y)+6*(x&y)	(((0x7*(x+(x^y)))+0x2)+(0xfb*y))
7*~(x&~y)+1*(x|y)-7*~(x|y)-5*~(x|~y)+2*(x&~y)	((0x3*(x|y))+((x&y)*0x5))
-2*~(x&y)-1*~(x^y)+2*(x|y)+7*~y-4*~(x|y)-13*(x&~y)	((0xf9*(x&(~y)))+x)
-2*(x|y)+7*~y+1*~x-1*~(x&~x)+2*~(x|~y)-4*(x&~y)+3*(x&y)	(0x7*(~(x|y)))
-4*~(x&~y)+9*(x|y)+2*~(x^y)+2*~(x|y)+3*~(x|~y)-9*(x&~y)+1*(x&y)	(0x8*y)
-5*~y-7*(x^y)+3*x+2*y-9*~(x^y)+14*~(x|y)+5*~(x|~y)	(((x-(x&y))*0xfb)+(0xfc*x))
-2*y+2*~x+1*x-1*~(x^y)+1*~y-2*~(x|y)-2*(x&~y)	((x^y)-(x+y))
4*~(x|(y^z))-1*(y^(~x|(y&z)))-7*~x+4*~(x|(y|z))+8*(~x&(~y&z))+3*(~x&(y&z))	(((y&(~(x|z)))*0xf9)-((~z)&(x&y)))
9*(~x&(~y|z))-5*(x&z)-9*~(x|(y|z))+5*~(~x|(~y|z))-9*(~x&(~y&z))-9*(~x&(y&z))+10*(x&(~y&z))+5*(x&(y&z))	(5*((x&(y^z))))
-4*(y^~(x|(y&z)))-1*(y|~z)+7*((x|y)&~(x^(y^z)))+4*(y&(x^z))-8*(x^(y|z))+5*(~y|(x^z))-4*(~(x&y)&(y^z))+1*((x^y)|(x^z))-2*((x&y)|~(y|z))+7*~(~x&(y&z))+2*(y^(x|(~y|z)))-2*(y^~(~x&(~y&z)))+9*(x^z)-5*(x|~y)+2*~(x&~x)-6*(y^(~x|(y|z)))+1*(z|~(x|y))-7*(y^(~x&(y|z)))-1*((y&z)^~(x&(y^z)))+8*(x|z)-8*~(~x&(y^z))-2*(y^(x|(y^z)))-5*(x^(y&z))-1*(y^(x|(y|z)))+1*(y^~(x|~z))+2*(y|(x&~z))+6*(y^~(x&z))+3*(~x|(y&z))-1*(~(x|y)|~(y^z))-1*(~(x|~y)|~(y^z))+6*(y^(x|z))+5*(y^~(x|z))-2*((x&y)^(x^(~y|z)))+2*~(x|(y|z))-15*~(x|(~y|z))-17*~(~x|(y|z))-19*~(~x|(~y|z))-10*(~x&(~y&z))-21*(~x&(y&z))-12*(x&(~y&z))-10*(x&(y&z))	-
-(4*(y^~(x|(y&z))))-1*(y|~z)+7*((x|y)&~(x^(y^z)))+4*(y&(x^z))-(8*(x^(y|z)))+5*(~y|(x^z))-(4*(~(x&y)&(y^z)))+1*((x^y)|(x^z))-(2*((x&y)|~(y|z)))+7*~(~x&(y&z))+2*(y^(x|(~y|z)))-(2*(y^~(~x&(~y&z))))+9*(x^z)-(5*(x|~y))+2*~(x&~x)-(6*(y^(~x|(y|z))))+1*(z|~(x|y))-(7*(y^(~x&(y|z))))-1*((y&z)^~(x&(y^z)))+8*(x|z)-(8*~(~x&(y^z)))-(2*(y^(x|(y^z))))-(5*(x^(y&z)))-1*(y^(x|(y|z)))+1*(y^~(x|~z))+2*(y|(x&~z))+6*(y^~(x&z))+3*(~x|(y&z))-1*(~(x|y)|~(y^z))-1*(~(x|~y)|~(y^z))+6*(y^(x|z))+5*(y^~(x|z))-(2*((x&y)^(x^(~y|z))))+2*~(x|(y|z))-(15*~(x|(~y|z)))-(17*~(~x|(y|z)))-(19*~(~x|(~y|z)))-(10*(~x&(~y&z)))-(21*(~x&(y&z)))-(12*(x&(~y&z)))-(10*(x&(y&z)))	-
((0x2*(x&((~z)&y)))+(-(21*(y&(x^z)))+(((((((x|(y^z))+(x+y))+((y^z)-(z-y)))+(((y^(x&z))*0x4)-(12*(x&((~y)&z)))))+(y+((x^z)*0x9)))+(-(10*(z&(~(x^y))))-(((~(x|z))&y)*15)))-((x&(~(y|z)))*17))))	-
-8*((((x&z)^~(y&~z))&~t)|((~z&(x^y))&t))-1*(((x|~y)&~t)|((~(x|y)|(x^(y^z)))&t))+9*((((x&y)|~(y|~z))&~t)|(~(x|(~y|z))&t))+9*~(x|(y|(z|t)))+9*~(~x|(y|(z|t)))-8*~(~x|(~y|(z|t)))+8*~(x|(~y|(~z|t)))-8*~(~x|(y|(~z|t)))-8*~(~x|(~y|(~z|t)))+1*(~x&(~y&(~z&t)))+9*(x&(~y&(~z&t)))+1*(x&(y&(z&t)))	(((~(z&t))|(x|y))+0x1)
1*(((y&(x|z))&~t)|((z|(x&y))&t))+6*(((x&(y&z))&~t)|((y^~(x&~z))&t))-8*~(x|(y|(z|t)))-1*~(~x|(~y|(z|t)))-1*~(x|(~y|(~z|t)))-15*~(~x|(~y|(~z|t)))-6*(~x&(~y&(~z&t)))-7*(x&(y&(~z&t)))-15*(~x&(~y&(z&t)))-1*(~x&(y&(z&t)))-15*(x&(~y&(z&t)))-1*(x&(y&(z&t)))	-
-1*(((x|~z)&~t)|(((x&y)|~(y|z))&t))+5*((((y&~z)|~(x|(~y&z)))&~t)|((y^~(x|(~y&z)))&t))-8*(((y&~z)&~t)|((y^(~x|(~y&z)))&t))-4*~(x|(y|(z|t)))+4*~(x|(~y|(z|t)))+1*~(~x|(y|(z|t)))-5*~(x|(~y|(~z|t)))+1*~(~x|(~y|(~z|t)))+4*(~x&(~y&(~z&t)))+1*(x&(~y&(~z&t)))+4*(x&(y&(~z&t)))+8*(~x&(~y&(z&t)))+8*(x&(~y&(z&t)))+4*(x&(y&(z&t)))	-
((((x&(y&(z&t)))*0xfb)+((y&((~t)&x))*0xfc))+((((z&y)&x)*0x5)-((~t)&(z&x))))	-
252*(x&y)+255*(x&z)+4*(t&x&y)+(t&x&z)+5*(x&y&z)+251*(t&x&y&z)	-
-4*(~t&x&y&~z)-(~t&x&~y&z)	-
