4554857727453019050*~(x|5148131303079159687) + 4554857727453019050*~(x|~5148131303079159687) + 13891886349992469251*~x,  3735936685*~x
17920832760038921891*~(x|~2582493568866365061) + 17920832756302985206*(x|~2582493568866365061) + 18446744069973614931*(x|2582493568866365061) + 17920832752567048521,  3735936685*~x
18446744069973614931*(x|~7886446504479654163) + 18446744066237678246*7886446504479654163 + 7471873370*~(x&~7886446504479654163) + 3735936685*(x|7886446504479654163),  3735936685*~x
17150857683259361534*~(x|3212024522274548615) + 17150857679523424849*(x&~3212024522274548615) + 1295886394186126767*~3212024522274548615 + 3735936685*~(x|~3212024522274548615),  3735936685*~x
3735936685*~676909778428015333 + 7471873370*~(x|~676909778428015333) + 3735936685*~(x^676909778428015333) + 3735936685,  3735936685*~x
11175151785046333992*(x&3860471329467239826) + 7271592284927280939*~(x^3860471329467239826) + 7271592284927280939*3860471329467239826 + 11175151792518207362*~(x&~3860471329467239826),  3735936685*~x
18446744069973614931*~6914095340553541279 + 3735936685*~(x&6914095340553541279) + 18446744069973614931*(x|6914095340553541279) + 18446744069973614931,  3735936685*~x
3735936685*~8274129800531762022 + 18446744069973614931*(x&8274129800531762022) + 7471873370*8274129800531762022 + 18446744069973614931*(x|8274129800531762022),  3735936685*~x
12962949603694049106*~x + 12962949599958112421*(x&6737060974556684033) + 5483794473751439195*~(x&~6737060974556684033),  3735936685*~x
4376759484416822793*~(x|8079732078287537707) + 3735936685*~(x|~8079732078287537707) + 4376759480680886108*(x&8079732078287537707) + 14069984593028665508*~(x^8079732078287537707),  3735936685*~x
2917712435259441767*~x + 15529031642186046534*(x^5132969613826981944) + 15529031642186046534*~(x^5132969613826981944) + 2917712431523505082*x,  3735936685*~x
4116561475872772707*~x + 4116561472136836022*x + 4116561472136836022,  3735936685*~x
3735936685*~4768064976060924867 + 3735936685*~(x|~4768064976060924867) + 3735936685*~(x&~4768064976060924867) + 3735936685,  3735936685*~x
13930394960421894898*~(x|4353384185731587048) + 13930394956685958213*x + 4516349113287656718*(x|~4353384185731587048) + 18446744069973614931,  3735936685*~x
4845566924855680026*~x + 9691133842239486682*x + 13601177152589808275*(x|~3929134151459007152) + 13601177152589808275*(x|3929134151459007152),  3735936685*~x
2105097892279963262*~(x|~5125558905965992714) + 3735936685*~x + 2105097892279963262*(x&5125558905965992714) + 16341646181429588354*5125558905965992714,  3735936685*~x
6674845903156052685*~(x|6745340663890229588) + 6674845899420116000*(x&~6745340663890229588) + 6674845903156052685*~(x|~6745340663890229588) + 11771898174289435616*~(x&6745340663890229588),  3735936685*~x
13298108976533775630*(x&~3382000798843079228) + 13298108972797838945*(x&3382000798843079228) + 5148635097175775986*x + 3735936685*~(x&~3382000798843079228),  3735936685*~x
3735936685*(x^3265342179822422636) + 3735936685*3265342179822422636 + 18446744066237678246*(x|3265342179822422636) + 18446744069973614931,  3735936685*~x
7471873370*~(x|4598675981465715379) + 3735936685*(x^4598675981465715379) + 3735936685*(x&4598675981465715379) + 18446744069973614931*(x|~4598675981465715379),  3735936685*~x
7471873370*(x^1665911600648374682) + 11207810055*~(x^1665911600648374682) + 18446744066237678246*(x|~1665911600648374682) + 18446744069973614931*1665911600648374682,  3735936685*~x
18446744066237678246*(x&~3891359230667693809) + 3735936685*~3891359230667693809 + 18446744069973614931*~(x^3891359230667693809) + 18446744069973614931,  3735936685*~x
18446744062501741561*(x&~6195667885636500846) + 7471873370*~6195667885636500846 + 18446744069973614931*~(x^6195667885636500846) + 3735936685*(x|6195667885636500846),  3735936685*~x
4538381767878019004*~x + 4538381764142082319*x + 4538381764142082319,  3735936685*~x
73067949502959850*~(x|5848397806893060628) + 3735936685*~(x|~5848397806893060628) + 73067945767023165*x + 18373676127942528451*(x|~5848397806893060628),  3735936685*~x
10141564387026321086*~x + 8305179690419167215*~(x&378722302523511638) + 8305179690419167215*(x&378722302523511638) + 10141564383290384401*x,  3735936685*~x
733410948310204143*~x + 733410944574267458*x + 733410944574267458,  3735936685*~x
3559835502756822523*~x + 14886908574688665778*(x^1058712703259543729) + 14886908574688665778*~(x^1058712703259543729) + 3559835499020885838*x,  3735936685*~x
2188317175427417067*(x&~1898805757594615125) + 16258426898282134549*~(x&1898805757594615125) + 16258426894546197864*x + 16258426894546197864,  3735936685*~x
18446744066237678246*(x&~403746588109512465) + 18446744069973614931*~(x^403746588109512465) + 18446744069973614931*403746588109512465 + 18446744066237678246,  3735936685*~x
2171720783532446089*~(x|~2479373878902455989) + 18446744069973614931*(x&2479373878902455989) + 2171720783532446089*~(x^2479373878902455989) + 16275023293913042212*~(x&~2479373878902455989),  3735936685*~x
8182319043353357724*~(x|3020058167030411001) + 10264425030356193892*(x&~3020058167030411001) + 10264425034092130577*~x + 8182319043353357724*(x^3020058167030411001),  3735936685*~x
18446744069973614931*(x^7197287451345241370) + 3735936685*~(x&7197287451345241370) + 18446744069973614931*~(x^7197287451345241370) + 3735936685*~(x&~7197287451345241370),  3735936685*~x
18446744069973614931*~(x|4376982096081166344) + 3735936685*~(x&4376982096081166344) + 3735936685*~(x^4376982096081166344) + 18446744069973614931*x,  3735936685*~x
9682765192985839122*~x + 9682765189249902437*(x&8864105032128747793) + 8763978884459649179*~(x&~8864105032128747793),  3735936685*~x
7615656715526114026*~(x|4979937648387955532) + 7615656715526114026*~(x|~4979937648387955532) + 10831087361919374275*~x,  3735936685*~x
3735936685*~(x|3837651999581786874) + 3735936685*(x^3837651999581786874) + 3735936685*~(x&~3837651999581786874) + 3735936685,  3735936685*~x
7394458910364385533*~(x|7595368458206515230) + 7394458902892512163*x + 11052285167081102768*(x|~7595368458206515230) + 3735936685*(x|7595368458206515230),  3735936685*~x
15495652292765894331*~x + 15495652289029957646*(x&7188883280371626059) + 2951091784679593970*~(x&~7188883280371626059),  3735936685*~x
3744766610985728208*~5167928424756786372 + 3744766614721664893*~x + 3744766610985728208*(x^5167928424756786372) + 10957210851738095200*~(x&5167928424756786372),  3735936685*~x
18446744069973614931*(x^3392170166353946425) + 18446744069973614931*(x&3392170166353946425) + 18446744069973614931*(x|~3392170166353946425) + 18446744066237678246,  3735936685*~x
317700271410813006*~(x|~1828893286521322358) + 9064521904885305990*~x + 9382222172560182311*~(x^1828893286521322358) + 9064521901149369305*1828893286521322358,  3735936685*~x
5527200359092795083*~(x|6025719061002106808) + 5527200355356858398*x + 12919543714616756533*(x|~6025719061002106808) + 18446744069973614931,  3735936685*~x
14757145797849069550*~x + 11067547514516714114*x + 3689598279596418751*(x|~946203227705693598) + 3689598279596418751*(x|946203227705693598),  3735936685*~x
7205771465956159484*~(x|~7206286789735988168) + 18446744069973614931*x + 7205771465956159484*(x|~7206286789735988168) + 7205771462220222799,  3735936685*~x
18446744069973614931*(x&~6411470852564316092) + 18446744066237678246*(x&6411470852564316092) + 3735936685*(x|~6411470852564316092) + 3735936685*6411470852564316092,  3735936685*~x
7471873370*~(x|3696176607369864269) + 18446744069973614931*~3696176607369864269 + 18446744069973614931*~(x^3696176607369864269) + 18446744069973614931,  3735936685*~x
3735936685*(x&~1587758685940986899) + 3735936685*~(x|~1587758685940986899) + 3735936685*~(x&~1587758685940986899) + 18446744069973614931*(x|1587758685940986899),  3735936685*~x
7471873370*~(x|2968117733437032912) + 18446744069973614931*(x&~2968117733437032912) + 18446744069973614931*~(x^2968117733437032912) + 3735936685*(x|2968117733437032912),  3735936685*~x
11207810055*~(x|3915388843470016899) + 18446744069973614931*~3915388843470016899 + 18446744069973614931*~(x^3915388843470016899) + 3735936685*(x|3915388843470016899),  3735936685*~x
1597553422189182485*~x + 1597553418453245800*x + 1597553418453245800,  3735936685*~x
1704013838157028500*(x&~5837064768226614269) + 1704013841892965185*~x + 16742730235552523116*~(x&5837064768226614269),  3735936685*~x
486102243623934617*~(x|6180143807439084103) + 3735936685*~x + 486102243623934617*(x|6180143807439084103) + 486102243623934617,  3735936685*~x
8727197241039224029*(x&~4640794470813879225) + 8727197244775160714*~x + 9719546832670327587*~(x&4640794470813879225),  3735936685*~x
9481944602311210638*(x&1173377208631201154) + 8964799467662404293*x + 8964799471398340978*~(x&~1173377208631201154) + 8964799467662404293,  3735936685*~x
1234752109448751643*~2501564558340607811 + 1234752109448751643*~(x|~2501564558340607811) + 3735936685*~x + 17211991964260799973*~(x&2501564558340607811),  3735936685*~x
5931584240980739623*~663011674058456555 + 12515159836464748678*~x + 12515159832728811993*(x|~663011674058456555) + 5931584240980739623*~(x&~663011674058456555),  3735936685*~x
3735936685*~7395036871878310941 + 3735936685*(x^7395036871878310941) + 7471873370*7395036871878310941 + 18446744066237678246*(x|7395036871878310941),  3735936685*~x
9334172245751708947*~(x|1616476062971056823) + 18446744069973614931*(x&~1616476062971056823) + 9334172245751708947*(x^1616476062971056823) + 9112571831693779354*~(x&1616476062971056823),  3735936685*~x
9804575007844327342*~(x|5831560684759935450) + 8642169069601160959*~x + 8642169065865224274*x + 9804575007844327342*(x|5831560684759935450),  3735936685*~x
18446744069973614931*(x&4944288275624385481) + 3735936685*~(x^4944288275624385481) + 18446744069973614931*(x|~4944288275624385481) + 18446744069973614931,  3735936685*~x
3735936685*~(x|1464581317860964305) + 10392082268631390895*~1464581317860964305 + 10392082272367327580*~(x|~1464581317860964305) + 8054661805078160721*~(x&1464581317860964305),  3735936685*~x
3735936685*(x&~5174067634630339706) + 18446744066237678246*x + 3735936685*(x|~5174067634630339706) + 3735936685*5174067634630339706,  3735936685*~x
4765413273970321043*~(x|~6867990373767032360) + 4765413266498447673*x + 3735936685*(x|~6867990373767032360) + 13681330803475167258*(x|6867990373767032360),  3735936685*~x
18159632492702619941*~x + 18159632488966683256*(x&8606006198895281870) + 287111584742868360*~(x&~8606006198895281870),  3735936685*~x
18446744069973614931*~(x^1608422355388341274) + 3735936685*1608422355388341274 + 18446744066237678246*(x|1608422355388341274) + 18446744066237678246,  3735936685*~x
16012854860252740646*(x&~1816167612612073140) + 16012854863988677331*~x + 2433889213456810970*~(x&1816167612612073140),  3735936685*~x
3735936685*(x&~4215955375540229990) + 18446744069973614931*(x|~4215955375540229990) + 18446744069973614931*4215955375540229990 + 7471873370*~(x&~4215955375540229990),  3735936685*~x
514324188262818069*(x&~5736797333396100366) + 18189581981446110924*~(x&5736797333396100366) + 18189581977710174239*x + 257162095999377377*~(x&~5736797333396100366),  3735936685*~x
3245257433184493272*~(x|3436307503379142541) + 3245257433184493272*~(x|~3436307503379142541) + 15201486644260995029*~x,  3735936685*~x
12207726993422407712*~(x&4765892547682912980) + 12207726989686471027*x + 12207726993422407712*~(x&~4765892547682912980) + 5968709909399327123,  3735936685*~x
10461069413353480375*~x + 10461069409617543690*x + 10461069409617543690,  3735936685*~x
10932748635131269293*~4230134071912837498 + 7513995442314219008*~x + 7513995438578282323*(x|~4230134071912837498) + 10932748635131269293*~(x&~4230134071912837498),  3735936685*~x
3708362716906717655*(x&~6635448088161555950) + 3708362720642654340*~x + 14738381356802833961*~(x&6635448088161555950),  3735936685*~x
16489749292750657977*~x + 14532754504319890968*(x&4511481619323436258) + 1956994784694830324*~(x^4511481619323436258) + 1956994784694830324*4511481619323436258,  3735936685*~x
17612473400144505562*~x + 17612473396408568877*x + 17612473396408568877,  3735936685*~x
14953555385066773363*~(x|515920185028808143) + 14953555385066773363*~(x|~515920185028808143) + 3493188692378714938*~x,  3735936685*~x
10130634532656183626*~x + 10130634528920246941*x + 10130634528920246941,  3735936685*~x
1243141787584210883*~x + 1243141783848274198*(x&1905595019543826869) + 17203602289861277418*~(x&~1905595019543826869),  3735936685*~x
18446744069973614931*(x&~4127113503869542546) + 18446744069973614931*~(x^4127113503869542546) + 18446744069973614931*(x|4127113503869542546) + 18446744066237678246,  3735936685*~x
11445670657164454551*~x + 11445670653428517866*x + 11445670653428517866,  3735936685*~x
4667771927488762317*(x&~8264761235898841535) + 4667771931224699002*~x + 13778972146220789299*~(x&8264761235898841535),  3735936685*~x
18446744069973614931*(x&~7353807700281013478) + 3735936685*(x^7353807700281013478) + 18446744069973614931*x + 3735936685*(x|~7353807700281013478),  3735936685*~x
3735936685*~(x|2646375915917143672) + 17066736169033243112*~2646375915917143672 + 17066736172769179797*~(x|~2646375915917143672) + 1380007904676308504*~(x&2646375915917143672),  3735936685*~x
7471873370*~5039812701917807721 + 18446744069973614931*~(x^5039812701917807721) + 11207810055*5039812701917807721 + 18446744066237678246*(x|5039812701917807721),  3735936685*~x
7471873370*(x^3183523282312487767) + 3735936685*~(x^3183523282312487767) + 3735936685*3183523282312487767 + 18446744066237678246*(x|3183523282312487767),  3735936685*~x
3735936685*~(x|5375317397984996261) + 1879190562810389673*~(x|~5375317397984996261) + 1879190559074452988*(x|~5375317397984996261) + 1879190559074452988,  3735936685*~x
3735936685*~(x^1436821274677496267) + 18446744066237678246*(x|~1436821274677496267) + 18446744069973614931*1436821274677496267 + 18446744066237678246,  3735936685*~x
1280463118161154315*~(x|4953419726843465200) + 18446744069973614931*(x&~4953419726843465200) + 1280463118161154315*(x^4953419726843465200) + 17166280959284333986*~(x&4953419726843465200),  3735936685*~x
6361534726614409045*(x&~427649306432789837) + 6361534730350345730*~x + 12085209347095142571*~(x&427649306432789837),  3735936685*~x
14157655131404409967*~(x|330330940039465147) + 14157655127668473282*(x&~330330940039465147) + 14157655131404409967*~(x|~330330940039465147) + 4289088946041078334*~(x&330330940039465147),  3735936685*~x
16217257161034474197*~(x|~4724374355675781715) + 3735936685*~x + 16217257161034474197*~(x^4724374355675781715) + 2229486912675077419*~(x&~4724374355675781715),  3735936685*~x
3159837089140851023*~x + 3159837085404914338*x + 3159837085404914338,  3735936685*~x
15322967146148756354*~x + 15322967142412819669*(x&6446934706956219806) + 3123776931296731947*~(x&~6446934706956219806),  3735936685*~x
7471873370*~(x|~3106139328050882095) + 18446744069973614931*(x^3106139328050882095) + 18446744069973614931*3106139328050882095 + 18446744069973614931,  3735936685*~x
1804466471719508788*~(x|~3815916288569054758) + 1804466464247635418*(x&3815916288569054758) + 3735936685*~(x^3815916288569054758) + 16642277605725979513*3815916288569054758,  3735936685*~x
11146604693630632762*~(x|477803304197120491) + 3735936685*~(x|~477803304197120491) + 11146604689894696077*477803304197120491 + 7300139383814855539*~(x&~477803304197120491),  3735936685*~x
12624358902579242298*~(x|2364173537778704961) + 5822385174866246003*~2364173537778704961 + 5822385178602182688*~(x|~2364173537778704961) + 12624358898843305613*(x^2364173537778704961),  3735936685*~x
12129403553434525878*~x + 12129403549698589193*(x&6376602189036467143) + 6317340524010962423*~(x&~6376602189036467143),  3735936685*~x
18446744069973614931*~(x^3237733663123239578) + 3735936685*~(x&~3237733663123239578) + 18446744069973614931*(x|3237733663123239578) + 18446744069973614931,  3735936685*~x
193100951042396722*~(x|3560647192392607274) + 193100947306460037*x + 18253643122667154894*(x|~3560647192392607274) + 18446744069973614931,  3735936685*~x
12673490072964457714*~(x|~3364888340060449168) + 5773254004481030587*~x + 5773254000745093902*x + 12673490072964457714*(x|~3364888340060449168),  3735936685*~x
3735936685*(x^2105366502128112515) + 18446744069973614931*(x&2105366502128112515) + 7471873370*~(x^2105366502128112515) + 18446744069973614931*(x|~2105366502128112515),  3735936685*~x
539389320275609690*~(x|1878801124040413653) + 539389316539673005*(x&~1878801124040413653) + 539389320275609690*~(x|~1878801124040413653) + 17907354757169878611*~(x&1878801124040413653),  3735936685*~x
7950470335008212169*(x&~1034920544262547347) + 7950470338744148854*~x + 10496273738701339447*~(x&1034920544262547347),  3735936685*~x
6119620971114275872*~x + 6119620967378339187*(x&8854248345176137814) + 12327123106331212429*~(x&~8854248345176137814),  3735936685*~x
3735936685*~5371769093609936508 + 7471873370*~(x|~5371769093609936508) + 3735936685*(x&5371769093609936508) + 18446744069973614931*(x|5371769093609936508),  3735936685*~x
14767148508485532215*~(x|2328717782701988711) + 14767148508485532215*~(x|~2328717782701988711) + 3679595568959956086*~x,  3735936685*~x
18446744069973614931*(x&~6100055753255365145) + 3735936685*~6100055753255365145 + 18446744069973614931*x + 3735936685*(x|6100055753255365145),  3735936685*~x
3735936685*~(x^6049526258261326978) + 18446744066237678246*x + 18446744069973614931*6049526258261326978 + 7471873370*(x|6049526258261326978),  3735936685*~x
3735936685*~365117506751154867 + 3735936685*(x^365117506751154867) + 7471873370*(x&365117506751154867) + 18446744066237678246*x,  3735936685*~x
3735936685*~(x|2721760150598449702) + 14719040399928059422*(x&~2721760150598449702) + 14719040403663996107*~(x|~2721760150598449702) + 3727703673781492194*(x^2721760150598449702),  3735936685*~x
18446744069973614931*~172003060373540867 + 3735936685*(x^172003060373540867) + 18446744066237678246*172003060373540867 + 7471873370*~(x&~172003060373540867),  3735936685*~x
17878518335510702991*~(x|~7655878583662790606) + 17878518331774766306*~(x^7655878583662790606) + 18446744069973614931*7655878583662790606 + 568225745670721995*~(x&~7655878583662790606),  3735936685*~x
8248103042499226847*~x + 10198641034946261454*~(x&6772450604373940151) + 10198641034946261454*~(x&~6772450604373940151) + 10198641034946261454,  3735936685*~x
12745350348074642326*~9196937437970826119 + 5701393729370845975*~x + 5701393725634909290*x + 12745350348074642326*9196937437970826119,  3735936685*~x
9723916304779414622*~(x|4856308578661274161) + 9723916304779414622*~(x|~4856308578661274161) + 8722827772666073679*~x,  3735936685*~x
14630036541955471627*(x&~6484208809354489871) + 3735936685*~(x&6484208809354489871) + 14630036545691408312*6484208809354489871 + 3816707528018143304*(x|6484208809354489871),  3735936685*~x
15255609953124284041*~(x|~7884108958711829856) + 15255609949388347356*x + 3191134120585267575*(x|7884108958711829856) + 18446744069973614931,  3735936685*~x
18446744069973614931*~(x^7970469710565633517) + 18446744069973614931*x + 3735936685*(x|~7970469710565633517) + 3735936685*~(x&~7970469710565633517),  3735936685*~x
8404553525071788802*(x&~2231356760911555364) + 8404553528807725487*~x + 10042190548637762814*~(x&2231356760911555364),  3735936685*~x
16723315361794221105*~(x|8950684625459104429) + 3735936685*~(x|~8950684625459104429) + 16723315358058284420*(x|8950684625459104429) + 16723315358058284420,  3735936685*~x
3405303094659332702*(x&~4295175082073468551) + 3735936685*~x + 3405303094659332702*4295175082073468551 + 15041440979050218914*(x|4295175082073468551),  3735936685*~x
18446744069973614931*~6025993849824827029 + 3735936685*~(x&6025993849824827029) + 18446744069973614931*6025993849824827029 + 3735936685*~(x&~6025993849824827029),  3735936685*~x
329003187597601378*(x&~4483031154742237547) + 3735936685*~(x&4483031154742237547) + 329003191333538063*4483031154742237547 + 18117740882376013553*(x|4483031154742237547),  3735936685*~x
9051680048714552164*(x&~223094247163852632) + 9051680052450488849*~x + 9395064024994999452*~(x&223094247163852632),  3735936685*~x
7888963727739254005*(x&~4999427594387744536) + 7888963731475190690*~x + 10557780345970297611*~(x&4999427594387744536),  3735936685*~x
3735936685*~8905432265855085229 + 3735936685*~(x|~8905432265855085229) + 3735936685*8905432265855085229 + 18446744069973614931*(x|8905432265855085229),  3735936685*~x
376675451430047281*~(x|2704692240145878680) + 3735936685*~(x|~2704692240145878680) + 376675447694110596*2704692240145878680 + 18070068626015441020*~(x&~2704692240145878680),  3735936685*~x
3735936685*~(x|540532954120194798) + 18446744069973614931*(x&~540532954120194798) + 18446744069973614931*~(x^540532954120194798) + 18446744069973614931,  3735936685*~x
7148290560007490458*(x&~147597757306471200) + 3735936685*~x + 7148290560007490458*147597757306471200 + 11298453513702061158*(x|147597757306471200),  3735936685*~x
5345373149555911010*(x&~308186361909204380) + 5345373153291847695*~x + 13101370924153640606*~(x&308186361909204380),  3735936685*~x
3735936685*~(x|4667115262433719660) + 18446744069973614931*(x&~4667115262433719660) + 18446744069973614931*(x&4667115262433719660) + 3735936685*(x|4667115262433719660),  3735936685*~x
5376186076154996875*~x + 5376186072419060190*x + 5376186072419060190,  3735936685*~x
17410182130810229195*(x&~6778771317915460719) + 3735936685*~(x&6778771317915460719) + 17410182134546165880*6778771317915460719 + 1036561939163385736*(x|6778771317915460719),  3735936685*~x
7913562977819740503*~x + 7913562974083803818*x + 7913562974083803818,  3735936685*~x
7471873370*~(x|5040294864693981298) + 18446744069973614931*~5040294864693981298 + 18446744069973614931*(x&5040294864693981298) + 3735936685*(x|5040294864693981298),  3735936685*~x
4990049878093010596*~(x|638570708785251069) + 4990049870621137226*(x&~638570708785251069) + 13456694199352477705*~638570708785251069 + 3735936685*(x^638570708785251069),  3735936685*~x
10643135153770005647*~(x|~170294787401228077) + 7803608923675482654*~x + 7803608919939545969*x + 10643135153770005647*(x|~170294787401228077),  3735936685*~x
10948480922240791715*~(x|~8014623580124576407) + 7498263155204696586*~x + 7498263151468759901*(x|8014623580124576407) + 7498263151468759901,  3735936685*~x
18446744069973614931*~977817674980694914 + 3735936685*(x^977817674980694914) + 18446744066237678246*x + 7471873370*(x|~977817674980694914),  3735936685*~x
685575004864233439*~x + 685575001128296754*x + 685575001128296754,  3735936685*~x
18446744069973614931*~5966703071346874579 + 18446744069973614931*(x^5966703071346874579) + 18446744066237678246*(x&5966703071346874579) + 18446744066237678246,  3735936685*~x
15376534925340762781*~(x|2245714062375814698) + 3735936685*~x + 15376534925340762781*(x|2245714062375814698) + 15376534925340762781,  3735936685*~x
10756932518752383049*(x&~8966049342591600296) + 3735936685*~x + 10756932518752383049*(x&8966049342591600296) + 7689811554957168567*x,  3735936685*~x
12487715122743134748*~8585162396450209652 + 3735936685*~x + 12487715122743134748*8585162396450209652 + 12487715122743134748,  3735936685*~x
12230925070963862352*(x&~1706458767625408213) + 3735936685*~(x&1706458767625408213) + 12230925074699799037*~(x^1706458767625408213) + 6215818999009752579*(x|~1706458767625408213),  3735936685*~x
7471873370*~1688569719324608851 + 7471873370*~(x^1688569719324608851) + 18446744062501741561*(x|~1688569719324608851) + 3735936685*(x|1688569719324608851),  3735936685*~x
8407582581927932264*~x + 16815165156383991158*(x&1343674704255734027) + 10039161495517556037*~(x^1343674704255734027) + 10039161495517556037*1343674704255734027,  3735936685*~x
1474133158772575108*(x&~9065674485113914550) + 1474133162508511793*~x + 1474133158772575108*(x&9065674485113914550) + 1474133158772575108,  3735936685*~x
5144539597489364824*(x&~5021634375447609051) + 5144539601225301509*~x + 13302204476220186792*~(x&5021634375447609051),  3735936685*~x
7557104139681895896*~(x|~834282912717866899) + 18446744069973614931*x + 7557104139681895896*(x|~834282912717866899) + 7557104135945959211,  3735936685*~x
7471873370*(x&~2518741419969306368) + 18446744069973614931*(x|~2518741419969306368) + 7471873370*~(x&~2518741419969306368) + 18446744069973614931*(x|2518741419969306368),  3735936685*~x
18446744069973614931*~8642136403112071905 + 7471873370*~(x&8642136403112071905) + 3735936685*~(x^8642136403112071905) + 3735936685,  3735936685*~x
7928716679273566482*~(x|~3479171161906867826) + 7928716675537629797*x + 10518027394435985134*(x|3479171161906867826) + 18446744069973614931,  3735936685*~x
11306857244579069820*~(x|~2305240465840989107) + 11306857237107196450*x + 3735936685*(x|~2305240465840989107) + 7139886832866418481*(x|2305240465840989107),  3735936685*~x
16691957342260284263*~(x|7355343233414917367) + 16691957342260284263*~(x|~7355343233414917367) + 1754786735185204038*~x,  3735936685*~x
18446744066237678246*(x&~2308761219081151994) + 3735936685*(x^2308761219081151994) + 18446744069973614931*2308761219081151994 + 18446744069973614931,  3735936685*~x
18446744066237678246*~4021393267489361024 + 7471873370*~(x&4021393267489361024) + 3735936685*~(x^4021393267489361024) + 18446744069973614931*4021393267489361024,  3735936685*~x
18114558770664150046*~x + 18114558766928213361*x + 18114558766928213361,  3735936685*~x
10140639147148722078*~(x|563874850909376740) + 3735936685*~(x|~563874850909376740) + 10140639143412785393*(x&563874850909376740) + 8306104930296766223*~(x^563874850909376740),  3735936685*~x
11697705333927437026*(x&~421484738283062951) + 3735936685*~421484738283062951 + 11697705341399310396*~(x|~421484738283062951) + 6749038736046177905*(x^421484738283062951),  3735936685*~x
8691957814522538842*(x&~8027825334940203013) + 8691957818258475527*~x + 9754786259187012774*~(x&8027825334940203013),  3735936685*~x
3735936685*~8825307719207820901 + 18446744069973614931*~(x^8825307719207820901) + 7471873370*~(x&~8825307719207820901) + 3735936685,  3735936685*~x
3735936685*~x + 17419277861862371460*~(x&3978049768357468424) + 17419277861862371460*(x&3978049768357468424) + 17419277861862371460,  3735936685*~x
18446744069973614931*~2826053004321766601 + 3735936685*(x^2826053004321766601) + 18446744066237678246*(x&2826053004321766601) + 7471873370*~(x^2826053004321766601),  3735936685*~x
2534478926424255023*(x&~1540984022311347933) + 3735936685*~(x&1540984022311347933) + 2534478930160191708*~(x^1540984022311347933) + 15912265143549359908*(x|~1540984022311347933),  3735936685*~x
3735936685*~2769557457498063602 + 18446744069973614931*(x^2769557457498063602) + 18446744066237678246*(x&2769557457498063602) + 7471873370*2769557457498063602,  3735936685*~x
9239169864004604407*~(x|8964827561730851403) + 9207574209704947209*~8964827561730851403 + 9207574213440883894*~x + 9239169864004604407*~(x&8964827561730851403),  3735936685*~x
17942829656911354801*~x + 17942829653175418116*x + 17942829653175418116,  3735936685*~x
15280651847977050558*~(x&4243499292458430387) + 15280651844241113873*x + 15280651847977050558*~(x&~4243499292458430387) + 12114559618508612815,  3735936685*~x
17300497592128700769*~x + 17300497588392764084*(x&9032387864909274368) + 1146246485316787532*~(x&~9032387864909274368),  3735936685*~x
8642083393368017195*~(x|6115721757850462125) + 8642083385896143825*(x&~6115721757850462125) + 9804660684077471106*~6115721757850462125 + 3735936685*(x^6115721757850462125),  3735936685*~x
2626161767213559021*~(x|~8749616384512762118) + 2626161763477622336*(x|~8749616384512762118) + 18446744069973614931*(x|8749616384512762118) + 2626161759741685651,  3735936685*~x
18312190174925731561*~(x|5857879000263138210) + 18446744069973614931*x + 18312190174925731561*(x|5857879000263138210) + 18312190171189794876,  3735936685*~x
18446744069973614931*~(x|~1858937883116476900) + 3735936685*~(x&1858937883116476900) + 18446744069973614931*(x|~1858937883116476900) + 3735936685*~(x&~1858937883116476900),  3735936685*~x
8309990433277980941*(x&~559207542831594451) + 18446744069973614931*x + 8309990433277980941*~(x&~559207542831594451) + 8309990429542044256,  3735936685*~x
16131543541085947082*~(x|~3835695122057440424) + 1157600270047738952*~x + 17289143807397749349*(x|~3835695122057440424) + 1157600266311802267*(x|3835695122057440424),  3735936685*~x
18446744069973614931*(x^362610578569730947) + 3735936685*~(x&362610578569730947) + 18446744069973614931*x + 3735936685*(x|362610578569730947),  3735936685*~x
18446744066237678246*(x&~1950701633388498795) + 3735936685*~1950701633388498795 + 18446744069973614931*(x&1950701633388498795) + 3735936685*(x|1950701633388498795),  3735936685*~x
1095653510887510308*~(x|7754155096509217493) + 18446744069973614931*x + 1095653510887510308*(x|7754155096509217493) + 1095653507151573623,  3735936685*~x
13704084325735100910*~(x|~215796436529267728) + 13704084321999164225*x + 4742659747974450706*(x|215796436529267728) + 18446744069973614931,  3735936685*~x
9225943655872334716*~(x|5922354472250280466) + 4610400208918608450*~5922354472250280466 + 4610400212654545135*~x + 13836343864790943166*(x^5922354472250280466),  3735936685*~x
17607143295178937302*~(x|~1099295014322132920) + 18446744069973614931*x + 17607143295178937302*(x|~1099295014322132920) + 17607143291443000617,  3735936685*~x
6472842406465617010*~x + 6472842402729680325*(x&988936890079598531) + 11973901670979871291*~(x&~988936890079598531),  3735936685*~x
10426284945212311522*~(x|2101460462245131216) + 13233601604839332540*~x + 13233601601103395855*(x|~2101460462245131216) + 5213142472606155761*(x|2101460462245131216),  3735936685*~x
14608680353309895523*~(x|~5793017346515775102) + 3735936685*~x + 14608680353309895523*~(x^5793017346515775102) + 3838063720399656093*~(x&~5793017346515775102),  3735936685*~x
12546027568816313373*(x&~7868656692326978400) + 12546027572552250058*~x + 5900716504893238243*~(x&7868656692326978400),  3735936685*~x
