49374*(x&~5148131303079159687) + 18446744073709502242*~(x&5148131303079159687) + 3735887311*x,  49374 + 3735936685*x
3735936685*(x&~8561123111727613132) + 18446744073709502242*(x^8561123111727613132) + 3735936685*(x&8561123111727613132) + 18446744073709502242*~(x^8561123111727613132),  49374 + 3735936685*x
2472971462585884562*~(x|2067131038575318123) + 2472971458849997251*~(x|~2067131038575318123) + 15973772611123617680*~x + 3735887311*(x|2067131038575318123),  49374 + 3735936685*x
3137872799776780077*(x&~2695400208890153135) + 3137872799776730703*~x + 15308871273932771539*~(x&2695400208890153135) + 3735887311*x,  49374 + 3735936685*x
18446744066237727620*~x + 18446744069973664305*(x^179098851658667335) + 7471774622*~(x&179098851658667335) + 3735887311*179098851658667335,  49374 + 3735936685*x
18446744066237727620*~7360037704365957592 + 3735887311*~(x&7360037704365957592) + 7471823996*(x|~7360037704365957592) + 18446744069973614931*~(x&~7360037704365957592),  49374 + 3735936685*x
18446744069973614931*~(x|~3921676363653519505) + 18446744069973614931*~(x&3921676363653519505) + 18446744069973614931*~(x^3921676363653519505) + 18446744066237727620,  49374 + 3735936685*x
18446744073709502242*~x + 3735887311*(x&2711497777356066544) + 18446744069973664305*~(x^2711497777356066544) + 3735887311*(x|~2711497777356066544),  49374 + 3735936685*x
18446744069973664305*~(x|~7091190894433010177) + 18446744073709502242*~x + 3735887311*(x^7091190894433010177) + 3735887311*(x&7091190894433010177),  49374 + 3735936685*x
18446744073709452868*~(x|494293976296370151) + 49374*~(x^494293976296370151) + 3735887311*x + 18446744073709502242*494293976296370151,  49374 + 3735936685*x
3735936685*~1130953346479434650 + 18446744073709502242*~(x&1130953346479434650) + 7471823996*(x&1130953346479434650) + 18446744069973614931*~(x^1130953346479434650),  49374 + 3735936685*x
8547833824380728119*~(x|6528831554236760802) + 8547833828116664804*x + 9898910249328823497*(x|~6528831554236760802) + 49374,  49374 + 3735936685*x
18446744073709535158*~6785868049690635657 + 18446744073709535158*(x^6785868049690635657) + 3735920227*x + 18446744073709518700*~(x&~6785868049690635657),  49374 + 3735936685*x
18446744069973614931*~(x|7170610620562217824) + 3735887311*(x&~7170610620562217824) + 18446744073709502242*~(x|~7170610620562217824) + 3735887311*~(x^7170610620562217824),  49374 + 3735936685*x
18446744073709502242*(x^3149098700073483698) + 18446744073709502242*(x&3149098700073483698) + 3735986059*x + 18446744073709502242*(x|~3149098700073483698),  49374 + 3735936685*x
18446744066237727620*(x^2582493568866365061) + 3735887311*~(x&2582493568866365061) + 18446744069973614931*~(x&~2582493568866365061) + 7471823996*(x|2582493568866365061),  49374 + 3735936685*x
3735887311*~(x&7886446504479654163) + 11207760681*(x&7886446504479654163) + 18446744069973614931*~(x^7886446504479654163) + 18446744069973614931*7886446504479654163,  49374 + 3735936685*x
18446744069973664305*~(x|3212024522274548615) + 3735936685*(x&~3212024522274548615) + 18446744073709502242*~(x&3212024522274548615) + 3735887311*~(x^3212024522274548615),  49374 + 3735936685*x
18446744069973614931*~(x|676909778428015333) + 49374*(x&~676909778428015333) + 18446744073709502242*(x^676909778428015333) + 3735887311*(x|~676909778428015333),  49374 + 3735936685*x
18446744073709502242*~x + 3735887311*~(x^3860471329467239826) + 18446744069973664305*~(x&~3860471329467239826) + 3735887311*(x|3860471329467239826),  49374 + 3735936685*x
18446744073709502242*~(x|6914095340553541279) + 18446744069973614931*~(x|~6914095340553541279) + 3735887311*(x^6914095340553541279) + 3735887311*(x&6914095340553541279),  49374 + 3735936685*x
18446744073709502242*~8274129800531762022 + 18446744069973614931*(x^8274129800531762022) + 18446744069973565557*8274129800531762022 + 7471873370*(x|8274129800531762022),  49374 + 3735936685*x
18446744069973565557*~(x|~6737060974556684033) + 3735936685*(x^6737060974556684033) + 3735936685*(x&6737060974556684033) + 18446744073709502242*(x|~6737060974556684033),  49374 + 3735936685*x
3735936685*(x&~8079732078287537707) + 3735887311*~8079732078287537707 + 18446744069973614931*~(x&8079732078287537707) + 3735887311*8079732078287537707,  49374 + 3735936685*x
3735887311*~(x|5132969613826981944) + 7471823996*(x&~5132969613826981944) + 18446744069973614931*~(x&5132969613826981944) + 3735887311*5132969613826981944,  49374 + 3735936685*x
18446744062501790935*~(x|4768064976060924867) + 3735887311*~(x&4768064976060924867) + 7471823996*~(x^4768064976060924867) + 18446744069973614931*4768064976060924867,  49374 + 3735936685*x
18446744069973614931*~4353384185731587048 + 18446744069973614931*(x^4353384185731587048) + 18446744066237678246*~(x&~4353384185731587048) + 18446744062501790935,  49374 + 3735936685*x
3735936685*(x&~3929134151459007152) + 3735936685*(x|~3929134151459007152) + 3735936685*3929134151459007152 + 3735986059,  49374 + 3735936685*x
7471823996*~(x|~5125558905965992714) + 18446744069973614931*~(x&5125558905965992714) + 7471823996*(x|~5125558905965992714) + 18446744069973614931*~(x&~5125558905965992714),  49374 + 3735936685*x
18446744073709502242*~6745340663890229588 + 18446744073709502242*~(x|~6745340663890229588) + 18446744073709502242*(x&6745340663890229588) + 3735936685*x,  49374 + 3735936685*x
49374*(x&~3382000798843079228) + 18446744073709502242*(x^3382000798843079228) + 3735936685*x + 18446744073709502242*(x|~3382000798843079228),  49374 + 3735936685*x
18446744069973614931*~3265342179822422636 + 3735936685*(x^3265342179822422636) + 7471873370*(x|~3265342179822422636) + 3735986059,  49374 + 3735936685*x
18446744066237727620*~(x|~4598675981465715379) + 3735936685*(x^4598675981465715379) + 18446744073709502242*~(x&4598675981465715379) + 3735887311*4598675981465715379,  49374 + 3735936685*x
3735936685*(x&1665911600648374682) + 18446744069973664305*~(x^1665911600648374682) + 3735887311*(x|~1665911600648374682) + 18446744073709502242*~(x&~1665911600648374682),  49374 + 3735936685*x
3735936685*(x&~3891359230667693809) + 3735887311*~(x|~3891359230667693809) + 18446744069973614931*~(x&3891359230667693809) + 3735887311*(x|~3891359230667693809),  49374 + 3735936685*x
18446744066237727620*~(x|6195667885636500846) + 3735887311*~6195667885636500846 + 18446744069973614931*~(x|~6195667885636500846) + 3735887311*~(x&~6195667885636500846),  49374 + 3735936685*x
18446744069973565557*(x&~5848397806893060628) + 3735936685*(x|~5848397806893060628) + 18446744069973565557*~(x&~5848397806893060628) + 3735936685*(x|5848397806893060628),  49374 + 3735936685*x
6306232143548545089*(x&~378722302523511638) + 3735936685*(x&378722302523511638) + 6306232139812608404*~(x&~378722302523511638) + 6306232139812657778,  49374 + 3735936685*x
18446744069973664305*~1058712703259543729 + 18446744069973614931*~x + 3735887311*~(x&1058712703259543729) + 3735887311*(x|~1058712703259543729),  49374 + 3735936685*x
3592572867860518342*(x&~1898805757594615125) + 3592572864124581657*~x + 3592572867860518342*(x&1898805757594615125) + 3592572864124631031,  49374 + 3735936685*x
10175837541905659619*~x + 10175837545641596304*(x|~403746588109512465) + 10175837545641596304*(x|403746588109512465) + 1904931013837753681,  49374 + 3735936685*x
18446744069973565557*(x^2479373878902455989) + 18446744066237628872*~(x^2479373878902455989) + 7471873370*(x|~2479373878902455989) + 3735936685*2479373878902455989,  49374 + 3735936685*x
3735986059*(x&~3020058167030411001) + 18446744069973565557*(x^3020058167030411001) + 18446744073709502242*(x|~3020058167030411001) + 3735936685*(x|3020058167030411001),  49374 + 3735936685*x
49374*~(x|~7197287451345241370) + 18446744073709502242*~(x&7197287451345241370) + 3735936685*x + 18446744073709502242*7197287451345241370,  49374 + 3735936685*x
3735936685*(x^4376982096081166344) + 18446744066237678246*~(x&4376982096081166344) + 18446744069973614931*4376982096081166344 + 18446744066237727620,  49374 + 3735936685*x
18446744073709502242*~(x|8864105032128747793) + 3735887311*(x^8864105032128747793) + 7471823996*(x&8864105032128747793) + 18446744069973614931*8864105032128747793,  49374 + 3735936685*x
18446744069973614931*~(x|4979937648387955532) + 3735936685*~4979937648387955532 + 18446744069973614931*~(x&4979937648387955532) + 18446744069973664305,  49374 + 3735936685*x
11763294813596415689*~x + 11763294817332352374*x + 11763294813596465063,  49374 + 3735936685*x
18446744069973565557*(x^3837651999581786874) + 18446744073709502242*~(x^3837651999581786874) + 18446744069973614931*3837651999581786874 + 7471873370*(x|3837651999581786874),  49374 + 3735936685*x
7471823996*(x&~7595368458206515230) + 18446744069973614931*~7595368458206515230 + 18446744069973614931*~(x|~7595368458206515230) + 3735887311*~(x&~7595368458206515230),  49374 + 3735936685*x
18446744069973614931*~(x&7188883280371626059) + 18446744069973614931*7188883280371626059 + 3735936685*(x|7188883280371626059) + 18446744069973664305,  49374 + 3735936685*x
3735936685*~(x^5167928424756786372) + 3735936685*5167928424756786372 + 18446744066237678246*~(x&~5167928424756786372) + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*~3392170166353946425 + 18446744073709502242*(x^3392170166353946425) + 18446744073709452868*(x&3392170166353946425) + 3735986059*x,  49374 + 3735936685*x
3735936685*~(x^1828893286521322358) + 18446744069973614931*1828893286521322358 + 7471873370*(x|1828893286521322358) + 3735986059,  49374 + 3735936685*x
3735936685*(x&~6025719061002106808) + 18446744069973614931*(x^6025719061002106808) + 3735936685*(x|6025719061002106808) + 49374,  49374 + 3735936685*x
18446744073709502242*~x + 3735887311*(x^946203227705693598) + 7471774622*(x&946203227705693598) + 18446744069973664305*946203227705693598,  49374 + 3735936685*x
18446744069973614931*~(x|7206286789735988168) + 3735887311*~(x&7206286789735988168) + 7471823996*(x&7206286789735988168) + 18446744069973614931*7206286789735988168,  49374 + 3735936685*x
18446744069973614931*~(x|6411470852564316092) + 13393289233917725770*~(x|~6411470852564316092) + 13393289237653662455*(x|~6411470852564316092) + 13393289233917775144,  49374 + 3735936685*x
18446744069973614931*(x^3696176607369864269) + 3735936685*3696176607369864269 + 18446744066237678246*~(x&~3696176607369864269) + 18446744066237727620,  49374 + 3735936685*x
3735887311*~(x|1587758685940986899) + 18446744066237727620*~x + 3735887311*~(x&1587758685940986899) + 3735887311*1587758685940986899,  49374 + 3735936685*x
3735887311*(x&~2968117733437032912) + 3735936685*~(x^2968117733437032912) + 3735936685*2968117733437032912 + 18446744069973565557*~(x&~2968117733437032912),  49374 + 3735936685*x
3735986059*~3915388843470016899 + 18446744069973565557*~(x&3915388843470016899) + 18446744073709502242*(x|~3915388843470016899) + 3735936685*(x|3915388843470016899),  49374 + 3735936685*x
18446744073709502242*~5837064768226614269 + 18446744069973565557*~(x|~5837064768226614269) + 49374*(x^5837064768226614269) + 3735887311*(x|5837064768226614269),  49374 + 3735936685*x
6945304780760682740*~x + 6945304784496619425*x + 6945304780760732114,  49374 + 3735936685*x
18446744073709502242*~(x|6180143807439084103) + 18446744073709502242*(x^6180143807439084103) + 18446744073709502242*(x&6180143807439084103) + 3735936685*x,  49374 + 3735936685*x
49374*~(x^4640794470813879225) + 3735887311*(x|~4640794470813879225) + 3735936685*4640794470813879225 + 18446744069973565557*~(x&~4640794470813879225),  49374 + 3735936685*x
18446744069973614931*~(x|1173377208631201154) + 3735936685*(x&~1173377208631201154) + 18446744069973614931*(x^1173377208631201154) + 18446744069973664305,  49374 + 3735936685*x
18446744069973614931*~2501564558340607811 + 18446744073709502242*(x^2501564558340607811) + 18446744069973565557*~(x^2501564558340607811) + 7471873370*(x|~2501564558340607811),  49374 + 3735936685*x
18446744069973664305*~(x|663011674058456555) + 18446744073709502242*~663011674058456555 + 3735936685*(x|~663011674058456555) + 18446744073709502242*~(x&~663011674058456555),  49374 + 3735936685*x
18446744069973565557*~7395036871878310941 + 18446744069973614931*~(x^7395036871878310941) + 7471873370*(x|~7395036871878310941) + 18446744073709502242*7395036871878310941,  49374 + 3735936685*x
16460257064128706245*~(x|~1616476062971056823) + 1986487005844908686*~x + 1986487009580845371*(x|1616476062971056823) + 1986487005844958060,  49374 + 3735936685*x
18446744069973664305*~(x|~5831560684759935450) + 18446744069973614931*~x + 3735887311*~(x&5831560684759935450) + 3735887311*5831560684759935450,  49374 + 3735936685*x
3735936685*~(x^4944288275624385481) + 18446744069973614931*~(x&~4944288275624385481) + 3735936685*(x|4944288275624385481) + 49374,  49374 + 3735936685*x
3735887311*~(x|~1464581317860964305) + 3735936685*(x&1464581317860964305) + 3735887311*(x|~1464581317860964305) + 18446744069973614931*~(x&~1464581317860964305),  49374 + 3735936685*x
11229240174491982703*~(x|5174067634630339706) + 11229240174491982703*~(x|~5174067634630339706) + 7217503899217519539*~x + 3735887311*x,  49374 + 3735936685*x
7471823996*(x&~6867990373767032360) + 18446744069973664305*(x^6867990373767032360) + 18446744073709502242*~(x&6867990373767032360) + 3735887311*6867990373767032360,  49374 + 3735936685*x
3735887311*(x^8606006198895281870) + 18446744069973614931*~(x&8606006198895281870) + 18446744073709502242*~(x^8606006198895281870) + 3735936685*(x|~8606006198895281870),  49374 + 3735936685*x
3735936685*(x&~1608422355388341274) + 13772388924579468627*~(x&1608422355388341274) + 13772388928315405312*(x&1608422355388341274) + 13772388924579518001,  49374 + 3735936685*x
11808224671730452732*~x + 11808224675466389417*(x&1816167612612073140) + 6638519398243162199*~(x&~1816167612612073140) + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*(x&~4215955375540229990) + 18446744073709502242*~(x|~4215955375540229990) + 18446744073709502242*~(x^4215955375540229990) + 3735936685*x,  49374 + 3735936685*x
18446744073709502242*~(x|5736797333396100366) + 3735887311*(x&~5736797333396100366) + 18446744073709502242*~(x|~5736797333396100366) + 3735887311*(x&5736797333396100366),  49374 + 3735936685*x
3735887311*~3436307503379142541 + 7471873370*(x&3436307503379142541) + 18446744069973614931*~(x^3436307503379142541) + 18446744073709502242*3436307503379142541,  49374 + 3735936685*x
7471823996*~4765892547682912980 + 7471823996*(x^4765892547682912980) + 18446744062501790935*~(x&4765892547682912980) + 3735887311*~(x&~4765892547682912980),  49374 + 3735936685*x
13201287270613981233*~(x|4230134071912837498) + 13201287274349967292*x + 5245456803095521009*(x|~4230134071912837498) + 18446744073709502242*(x|4230134071912837498),  49374 + 3735936685*x
18446744069973565557*~(x|6635448088161555950) + 3735887311*(x&~6635448088161555950) + 3735936685*~(x^6635448088161555950) + 18446744073709502242*6635448088161555950,  49374 + 3735936685*x
18446744066237678246*~(x|4511481619323436258) + 18446744069973614931*(x^4511481619323436258) + 18446744069973614931*4511481619323436258 + 18446744066237727620,  49374 + 3735936685*x
3372163426828302376*~(x|515920185028808143) + 3735936685*x + 3372163426828302376*(x|515920185028808143) + 3372163426828351750,  49374 + 3735936685*x
18446744073709502242*~1905595019543826869 + 3735887311*x + 49374*(x|~1905595019543826869) + 18446744073709502242*~(x&~1905595019543826869),  49374 + 3735936685*x
13149895850806531567*~(x|~4127113503869542546) + 18446744073709502242*~x + 13149895854542418878*x + 5296848222903020049*(x|4127113503869542546),  49374 + 3735936685*x
18446744073709502242*~(x|8264761235898841535) + 3735936685*(x&~8264761235898841535) + 18446744069973614931*(x^8264761235898841535) + 3735887311*(x|8264761235898841535),  49374 + 3735936685*x
11072757482152650901*~x + 11072757485888587586*x + 11072757482152700275,  49374 + 3735936685*x
49374*(x&~7353807700281013478) + 3735887311*~7353807700281013478 + 18446744069973614931*~(x&7353807700281013478) + 3735887311*(x|7353807700281013478),  49374 + 3735936685*x
8978966097319092164*(x&~2646375915917143672) + 18446744069973614931*~(x&2646375915917143672) + 8978966093583155479*~(x&~2646375915917143672) + 8978966089847268168,  49374 + 3735936685*x
17625573714771220663*(x&~5039812701917807721) + 3735936685*(x&5039812701917807721) + 17625573711035283978*~(x&~5039812701917807721) + 17625573711035333352,  49374 + 3735936685*x
14997340342990819636*~x + 14997340342990869010*(x&3183523282312487767) + 3735887311*x + 3449403730718682606*~(x&~3183523282312487767),  49374 + 3735936685*x
266670794897052893*~(x|~5375317397984996261) + 266670798632989578*x + 18180073278812498723*(x|5375317397984996261) + 49374,  49374 + 3735936685*x
49374*~1436821274677496267 + 3735936685*(x^1436821274677496267) + 18446744069973565557*~(x&1436821274677496267) + 3735887311*(x|~1436821274677496267),  49374 + 3735936685*x
17221110218876097506*x + 1225633858569390795*(x|~4953419726843465200) + 1225633858569390795*(x|4953419726843465200) + 1225633858569440169,  49374 + 3735936685*x
18446744069973565557*~(x|427649306432789837) + 3735936685*~427649306432789837 + 18446744073709502242*(x^427649306432789837) + 3735887311*(x&427649306432789837),  49374 + 3735936685*x
18446744073709502242*~x + 3735887311*(x&330330940039465147) + 18446744069973664305*330330940039465147 + 3735887311*(x|330330940039465147),  49374 + 3735936685*x
3735986059*(x&4724374355675781715) + 18446744069973565557*~(x^4724374355675781715) + 3735936685*(x|~4724374355675781715) + 18446744073709502242*(x|4724374355675781715),  49374 + 3735936685*x
18446744073709502242*~(x|~6446934706956219806) + 49374*(x^6446934706956219806) + 18446744073709502242*~(x&6446934706956219806) + 3735887311*x,  49374 + 3735936685*x
18446744069973614931*~(x|~3106139328050882095) + 49374*(x&3106139328050882095) + 18446744073709502242*~(x^3106139328050882095) + 3735887311*(x|3106139328050882095),  49374 + 3735936685*x
18446744069973565557*~(x|3815916288569054758) + 49374*~3815916288569054758 + 18446744073709502242*(x^3815916288569054758) + 3735887311*(x|~3815916288569054758),  49374 + 3735936685*x
3735887311*~477803304197120491 + 3735936685*~(x^477803304197120491) + 7471823996*477803304197120491 + 18446744066237678246*~(x&~477803304197120491),  49374 + 3735936685*x
18446744069973614931*~x + 18446744069973664305*(x&2364173537778704961) + 3735887311*~(x^2364173537778704961) + 3735887311*(x|2364173537778704961),  49374 + 3735936685*x
18446744069973614931*~(x|6376602189036467143) + 18446744073709502242*(x^6376602189036467143) + 18446744073709502242*~(x^6376602189036467143) + 3735936685*(x|~6376602189036467143),  49374 + 3735936685*x
10267972048832751129*(x&~3237733663123239578) + 18446744073709502242*~x + 10267972048832751129*(x&3237733663123239578) + 8178772028612687798*x,  49374 + 3735936685*x
3735887311*~(x|~3560647192392607274) + 18446744066237727620*~x + 3735887311*~(x&3560647192392607274) + 3735887311*~(x^3560647192392607274),  49374 + 3735936685*x
7471873370*(x&~3364888340060449168) + 18446744069973565557*~3364888340060449168 + 3735936685*~(x^3364888340060449168) + 18446744073709502242*3364888340060449168,  49374 + 3735936685*x
18446744069973614931*~(x|~2105366502128112515) + 18446744073709502242*(x^2105366502128112515) + 18446744073709502242*~(x^2105366502128112515) + 3735936685*(x|2105366502128112515),  49374 + 3735936685*x
3735936685*(x&~1878801124040413653) + 18446744073709502242*~1878801124040413653 + 18446744069973614931*~(x|~1878801124040413653) + 3735887311*1878801124040413653,  49374 + 3735936685*x
2667623885029180380*~(x|1034920544262547347) + 18446744073709502242*~x + 2667623888765067691*x + 15779120188680371236*(x|~1034920544262547347),  49374 + 3735936685*x
3735936685*x + 49374*8854248345176137814 + 18446744073709502242*~(x&~8854248345176137814) + 18446744073709502242*(x|8854248345176137814),  49374 + 3735936685*x
8918389880992495937*~x + 8918389884728432622*x + 8918389880992545311,  49374 + 3735936685*x
18446744069973614931*~(x|5371769093609936508) + 3735936685*(x&~5371769093609936508) + 3735936685*~(x^5371769093609936508) + 49374,  49374 + 3735936685*x
49374*(x&2328717782701988711) + 3735887311*~(x^2328717782701988711) + 18446744069973614931*~(x&~2328717782701988711) + 3735887311*(x|2328717782701988711),  49374 + 3735936685*x
18446744069973614931*~(x|6100055753255365145) + 18446744066237727620*~(x|~6100055753255365145) + 3735887311*(x^6100055753255365145) + 3735887311*~(x&~6100055753255365145),  49374 + 3735936685*x
7471823996*~6049526258261326978 + 18446744069973614931*(x^6049526258261326978) + 11207760681*6049526258261326978 + 18446744066237678246*~(x&~6049526258261326978),  49374 + 3735936685*x
3735887311*~365117506751154867 + 3735887311*~(x|~365117506751154867) + 7471823996*(x&365117506751154867) + 18446744069973614931*~(x&~365117506751154867),  49374 + 3735936685*x
3735887311*~(x|2721760150598449702) + 3735936685*(x&2721760150598449702) + 18446744069973614931*~(x&~2721760150598449702) + 3735887311*(x|2721760150598449702),  49374 + 3735936685*x
7471873370*(x&~172003060373540867) + 3735936685*~(x^172003060373540867) + 3735936685*172003060373540867 + 3735986059,  49374 + 3735936685*x
11611529731677096579*~(x|~7655878583662790606) + 3417607169148234489*~x + 15029136904561267753*(x|~7655878583662790606) + 3417607172884171174*(x|7655878583662790606),  49374 + 3735936685*x
3735936685*~6772450604373940151 + 18446744073709502242*(x^6772450604373940151) + 7471873370*(x&6772450604373940151) + 18446744069973565557*~(x^6772450604373940151),  49374 + 3735936685*x
18446744073709502242*~(x|9196937437970826119) + 3735936685*~9196937437970826119 + 18446744069973614931*~(x&9196937437970826119) + 3735887311*(x|9196937437970826119),  49374 + 3735936685*x
7471873370*(x&4856308578661274161) + 18446744069973614931*~(x^4856308578661274161) + 18446744069973614931*4856308578661274161 + 18446744069973664305,  49374 + 3735936685*x
18446744069973614931*~x + 8352666999524669031*~(x&6484208809354489871) + 8352666999524669031*(x&6484208809354489871) + 8352666995788781720,  49374 + 3735936685*x
3735986059*(x&7884108958711829856) + 18446744073709502242*(x|~7884108958711829856) + 18446744069973565557*7884108958711829856 + 3735936685*(x|7884108958711829856),  49374 + 3735936685*x
18446744073709502242*~7970469710565633517 + 18446744069973565557*~(x|~7970469710565633517) + 3735936685*(x^7970469710565633517) + 3735887311*(x&7970469710565633517),  49374 + 3735936685*x
3735887311*(x&~2231356760911555364) + 18446744069973565557*~(x|~2231356760911555364) + 18446744073709502242*~(x^2231356760911555364) + 3735936685*2231356760911555364,  49374 + 3735936685*x
18446744069973664305*~(x|8950684625459104429) + 49374*(x&8950684625459104429) + 3735887311*(x|~8950684625459104429) + 18446744073709502242*~(x&~8950684625459104429),  49374 + 3735936685*x
3435073498714137025*~x + 3435073502450073710*x + 3435073498714186399,  49374 + 3735936685*x
3735936685*~4295175082073468551 + 18446744066237628872*(x^4295175082073468551) + 18446744069973565557*~(x^4295175082073468551) + 7471873370*(x|4295175082073468551),  49374 + 3735936685*x
3735887311*~6025993849824827029 + 3735887311*~(x|~6025993849824827029) + 18446744066237727620*~x + 3735887311*~(x&~6025993849824827029),  49374 + 3735936685*x
3735887311*~4483031154742237547 + 3735887311*~(x|~4483031154742237547) + 18446744069973614931*~x + 3735887311*(x&4483031154742237547),  49374 + 3735936685*x
18446744073709502242*~223094247163852632 + 18446744066237678246*~(x|~223094247163852632) + 3735936685*(x^223094247163852632) + 3735887311*223094247163852632,  49374 + 3735936685*x
3735936685*~4999427594387744536 + 18446744066237678246*~(x&4999427594387744536) + 18446744069973614931*~(x^4999427594387744536) + 18446744066237727620,  49374 + 3735936685*x
3735936685*(x&~8905432265855085229) + 3735887311*(x^8905432265855085229) + 18446744069973614931*~(x&8905432265855085229) + 3735887311*~(x^8905432265855085229),  49374 + 3735936685*x
6814315747829942159*~x + 6814315751565878844*x + 6814315747829991533,  49374 + 3735936685*x
9851850400414756577*~(x|2704692240145878680) + 18446744073709502242*~x + 9851850404150643888*x + 8594893673294795039*(x|~2704692240145878680),  49374 + 3735936685*x
3761288059778350503*~(x|~540532954120194798) + 14685456013931151739*~x + 14685456017667088424*x + 3761288059778350503*(x|~540532954120194798),  49374 + 3735936685*x
11060182726336702275*~(x|147597757306471200) + 3693280671818431641*~x + 3693280675554368326*(x|~147597757306471200) + 14753463401891070601*(x|147597757306471200),  49374 + 3735936685*x
13559614672761376121*~(x&308186361909204380) + 13559614672761376121*(x&308186361909204380) + 3735936685*x + 13559614672761425495,  49374 + 3735936685*x
18446744073709502242*(x^4667115262433719660) + 3735936685*(x&4667115262433719660) + 18446744069973565557*~(x^4667115262433719660) + 3735936685*(x|~4667115262433719660),  49374 + 3735936685*x
3735887311*~6778771317915460719 + 18446744073709502242*~x + 7471774622*(x&6778771317915460719) + 18446744069973664305*~(x^6778771317915460719),  49374 + 3735936685*x
16088777045887585756*~(x|5040294864693981298) + 18446744073709502242*~(x|~5040294864693981298) + 16088777049623522441*x + 2357967027821916486*(x|~5040294864693981298),  49374 + 3735936685*x
5317760764546172216*~(x|638570708785251069) + 18446744069973614931*~x + 5317760764546172216*(x|638570708785251069) + 5317760760810284905,  49374 + 3735936685*x
1478361510448831611*~(x|170294787401228077) + 18446744073709502242*~x + 1478361514184718922*x + 16968382563260720005*(x|~170294787401228077),  49374 + 3735936685*x
18446744069973614931*~(x|~8014623580124576407) + 3735936685*(x^8014623580124576407) + 18446744069973614931*~(x&8014623580124576407) + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*~(x|977817674980694914) + 18446744069973614931*(x^977817674980694914) + 18446744069973614931*977817674980694914 + 7471823996*(x|977817674980694914),  49374 + 3735936685*x
49374*~(x^5966703071346874579) + 3735986059*x + 18446744073709452868*(x|~5966703071346874579) + 18446744073709502242*5966703071346874579,  49374 + 3735936685*x
18446744069973614931*~2245714062375814698 + 18446744066237678246*~(x|~2245714062375814698) + 7471823996*(x^2245714062375814698) + 3735887311*~(x^2245714062375814698),  49374 + 3735936685*x
2845143126550827354*~(x|8966049342591600296) + 18446744073709502242*~(x|~8966049342591600296) + 2845143130286764039*x + 15601600947158674888*(x|~8966049342591600296),  49374 + 3735936685*x
18446744073709502242*~8585162396450209652 + 3735936685*(x|~8585162396450209652) + 3735887311*8585162396450209652 + 18446744069973614931*~(x&~8585162396450209652),  49374 + 3735936685*x
3735887311*(x&~1706458767625408213) + 1072462292729320858*~x + 1072462296465257543*(x&1706458767625408213) + 17374281780980181384*~(x&~1706458767625408213),  49374 + 3735936685*x
13510837825642803242*~(x&1688569719324608851) + 13510837825642803242*(x&1688569719324608851) + 3735936685*x + 13510837825642852616,  49374 + 3735936685*x
98748*(x&~1343674704255734027) + 18446744073709502242*~1343674704255734027 + 18446744073709502242*(x^1343674704255734027) + 3735887311*x,  49374 + 3735936685*x
7471873370*(x&~9065674485113914550) + 18446744069973565557*(x^9065674485113914550) + 18446744073709502242*~(x^9065674485113914550) + 3735936685*9065674485113914550,  49374 + 3735936685*x
18446744073709502242*~(x&5021634375447609051) + 3735887311*x + 18446744073709502242*5021634375447609051 + 49374*(x|5021634375447609051),  49374 + 3735936685*x
18446744069973614931*~(x|834282912717866899) + 3735936685*(x&834282912717866899) + 18446744069973614931*834282912717866899 + 18446744069973664305,  49374 + 3735936685*x
8039781602467699889*(x&~2518741419969306368) + 18446744069973614931*~(x&2518741419969306368) + 8039781598731763204*~(x&~2518741419969306368) + 8039781594995875893,  49374 + 3735936685*x
18446744069973614931*~(x|8642136403112071905) + 3735887311*~8642136403112071905 + 18446744069973614931*~(x|~8642136403112071905) + 3735887311*8642136403112071905,  49374 + 3735936685*x
16464492137052641512*~x + 16464492140788578197*(x&3479171161906867826) + 1982251932920973419*~(x&~3479171161906867826) + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*(x&~2305240465840989107) + 3735936685*~(x^2305240465840989107) + 18446744069973565557*~(x&~2305240465840989107) + 3735936685*(x|2305240465840989107),  49374 + 3735936685*x
18446744066237628872*~7355343233414917367 + 3735936685*(x^7355343233414917367) + 7471873370*(x|~7355343233414917367) + 18446744069973565557*7355343233414917367,  49374 + 3735936685*x
10344984632893462544*~(x|2308761219081151994) + 10344984629157575233*~(x|~2308761219081151994) + 8101759440816039698*~x + 3735887311*(x|2308761219081151994),  49374 + 3735936685*x
18446744066237678246*~(x|4021393267489361024) + 3735936685*~4021393267489361024 + 18446744073709502242*(x^4021393267489361024) + 3735887311*~(x^4021393267489361024),  49374 + 3735936685*x
7161993657350401341*~(x|563874850909376740) + 18446744073709502242*~x + 7161993661086288652*x + 11284750416359150275*(x|~563874850909376740),  49374 + 3735936685*x
18446744069973664305*~(x|421484738283062951) + 3735887311*(x&~421484738283062951) + 18446744073709502242*~x + 3735887311*~(x^421484738283062951),  49374 + 3735936685*x
18446744069973614931*~(x|8027825334940203013) + 49374*(x&8027825334940203013) + 3735887311*(x|~8027825334940203013) + 18446744073709502242*8027825334940203013,  49374 + 3735936685*x
