18446744069973614931*~(x|(~y|5148131303079159687)) + 3735936685*(y&~5148131303079159687) + 18446744069973614931*~(x&(~y|5148131303079159687)) + 18446744069973664305,  49374 + 3735936685*x
3735887311*(z^(~x|(~4079537181937912109|z))) + 18446744069973614931*(4079537181937912109^~(~x&(~4079537181937912109&z))) + 18446744069973614931*(~x&(4079537181937912109|z)) + 18446744073709502242*(x^(~4079537181937912109|z)) + 3735986059*(4079537181937912109^~(~x&(~4079537181937912109|z))) + 3735936685*((x&4079537181937912109)|~(4079537181937912109|~z)) + 49374*~(4079537181937912109^z) + 18446744073709452868*((x&4079537181937912109)^(x^(4079537181937912109&z))),  49374 + 3735936685*x
18446744069973565557*(~x&(7157563900223660982^z)) + 18446744062501741561*(~x&(7157563900223660982&z)) + 18446744069973664305*(x^(7157563900223660982|z)) + 7471823996*(7157563900223660982^(x|(~7157563900223660982&z))) + 18446744069973614931*(z^~(x&(7157563900223660982|z))) + 3735936685*(7157563900223660982&~(x&~z)) + 3735887311*((x&7157563900223660982)|~(7157563900223660982^z)),  49374 + 3735936685*x
3735936685*~(~x|(~8367083059716769632|z)) + 18446744069973614931*((x&z)^(x^(~8367083059716769632&z))) + 18679634051*(8367083059716769632^~(~x&(~8367083059716769632|z))) + 18446744062501741561*(x^8367083059716769632) + 11207760681*(8367083059716769632^~(x|~z)) + 18446744066237678246*(8367083059716769632^~(x|(8367083059716769632&z))) + 18446744066237727620*(z|(x&8367083059716769632)) + 7471823996*(z|~(x^8367083059716769632)),  49374 + 3735936685*x
11207760681*(1235350457680205070&~z) + 18446744069973614931*(1235350457680205070^(~x|(1235350457680205070&z))) + 11207760681*(~z|(x^1235350457680205070)) + 18446744058765854250*(~x|(~1235350457680205070&z)) + 18446744058765854250*(1235350457680205070|(x&~z)) + 11207760681*(z&~(x&~1235350457680205070)) + 7471823996*(~x|(~1235350457680205070|z)),  49374 + 3735936685*x
3735837937*~(8911431630821830694|z) + 49374*(z^(x|(~8911431630821830694|z))) + 3735887311*(8911431630821830694^(x|(8911431630821830694&z))) + 3735837937*~(x&(~8911431630821830694|z)) + 18446744069973664305*~(x&z) + 18446744069973664305*(8911431630821830694^~(~x&(8911431630821830694|z))) + 3735887311*(x|(8911431630821830694&z)),  49374 + 3735936685*x
7471873370*(x&~2982356391790334846) + 18446744069973614931*(2982356391790334846^~(~x&(2982356391790334846^z))) + 18446744069973614931*(2982356391790334846^(x|(2982356391790334846^z))) + 3735887311*((x^2982356391790334846)|(x^z)) + 3735887311*(~(x^2982356391790334846)&~(x^z)),  49374 + 3735936685*x
18446744069973664305*~(x|~4895959498224129801) + 49374*((x|y)&~(x^(y^4895959498224129801))) + 18446744073709502242*(~y|(x^4895959498224129801)) + 49374*~(~x&(y|4895959498224129801)) + 18446744073709502242*(y|~(x^4895959498224129801)) + 3735887311*(x|4895959498224129801),  49374 + 3735936685*x
3735936685*(~6613912460966496089&(x^y)) + 22415521362*(y^(~x|(y&6613912460966496089))) + 18446744062501790935*(6613912460966496089^~(x&(~y&6613912460966496089))) + 18446744058765854250*((x&6613912460966496089)^~(y&~6613912460966496089)) + 14943647992*(x^y) + 11207760681*((x|~y)&~(y^6613912460966496089)) + 18446744066237678246*(y^(~x&(~y|6613912460966496089))),  49374 + 3735936685*x
18446744073709502242*~(x|(4468167443720691886&z)) + 3735936685*(z^(~x&(4468167443720691886|z))) + 8727337716525705525*(z^~(x|~4468167443720691886)) + 9719406357183846091*(x|(~4468167443720691886&z)) + 8727337720261592836*(z&(x|4468167443720691886)) + 992068633186316570*(4468167443720691886^(x&(4468167443720691886^z))) + 8727337720261592836*(x|4468167443720691886),  49374 + 3735936685*x
18446744069973614931*(~z&(x^8010941550706066609)) + 14757395260462006092*(~(x|8010941550706066609)|(8010941550706066609^z)) + 11068046447214460568*(z^(x|(~8010941550706066609&z))) + 3689348813247545524*(8010941550706066609^(x&(8010941550706066609|z))) + 11068046443478523883*((8010941550706066609&~z)^(~x|(8010941550706066609^z))) + 7378697633966915044*~(x^(~8010941550706066609|z)) + 11068046443478523883*~(x&~8010941550706066609),  49374 + 3735936685*x
2635249153387057642*(~z&(x^8331354425963166402)) + 13176245766935386958*(~8331354425963166402&(x^z)) + 7905747460161222300*((8331354425963166402&~z)^(~x|(8331354425963166402^z))) + 7905747460161222300*(8331354425963166402^(~x&(~8331354425963166402|z))) + 3735936685*x + 2635249153387057642*~(~x&(8331354425963166402^z)) + 7905747460161222300*(8331354425963166402|z),  49374 + 3735936685*x
3735986059*(z^(x|(~7726901258459546253|z))) + 18446744069973565557*~(x|7726901258459546253) + 18446744073709502242*~(~x&(~7726901258459546253|z)) + 3735986059*(z&(x|~7726901258459546253)) + 18446744073709502242*(x|(~7726901258459546253|z)),  49374 + 3735936685*x
3735887311*(~3144000513056859544&~(x^y)) + 18446744069973614931*~(x|(y^3144000513056859544)) + 3735936685*(y^~(x|(y&3144000513056859544))) + 18446744069973614931*~(x&~y) + 3735936685*(y^~(~x|(y&3144000513056859544))) + 18446744073709502242*(3144000513056859544|(x^y)),  49374 + 3735936685*x
18446744069973614931*(~(x|8290779312264071805)|~(x^(8290779312264071805^z))) + 7471823996*(~(x|~8290779312264071805)|(8290779312264071805^z)) + 18679584677*(x&(8290779312264071805|z)) + 18446744062501790935*((x&8290779312264071805)|~(8290779312264071805|~z)) + 3735887311*~(x&(8290779312264071805^z)) + 18446744069973614931*(z^~(x|(8290779312264071805&z))) + 18446744066237727620*(8290779312264071805|(x&z)) + 3735936685*(z|~(x|8290779312264071805)),  49374 + 3735936685*x
3735837937*~(~x|(1106326071816670015|z)) + 3735936685*~(1106326071816670015|~z) + 18446744069973614931*(1106326071816670015^(x|z)) + 3735936685*(z^~(x&(~1106326071816670015|z))) + 18446744069973565557*((x&1106326071816670015)|~(x^(1106326071816670015^z))) + 3735986059*(x|(1106326071816670015&z)) + 18446744073709502242*(1106326071816670015|z),  49374 + 3735936685*x
6148914689991204977*~y + 6148914693727141662*((x|~y)&(y^7197923092123275737)) + 6148914689991204977*(~x&(y|7197923092123275737)) + 12297829379982409954*~(x&(~y|7197923092123275737)) + 3735887311*(~(x|~y)|(y^7197923092123275737)) + 12297829387454233950*((x|~y)&~(y^7197923092123275737)) + 6148914689991204977*(y^(~x|(y^7197923092123275737))),  49374 + 3735936685*x
18446744073709502242*(z^(~x|(341849929399167112|z))) + 3735887311*(~x&(341849929399167112&z)) + 18446744069973565557*~(x|~z) + 49374*(z^(x&(341849929399167112|z))) + 18446744069973664305*(341849929399167112^~(~x&(341849929399167112|z))) + 3735887311*(~341849929399167112|(x^z)) + 3735887311*~(x^(~341849929399167112|z)),  49374 + 3735936685*x
18446744062501790935*(y^~(~x&(y^3324052776998037055))) + 7471823996*(~(x|y)|(y^3324052776998037055)) + 18446744055029966939*~(x|~y) + 26151458047*(y^~(~x|(~y&3324052776998037055))) + 18446744069973614931*(y&(x^3324052776998037055)) + 18446744062501741561*(x^(y|3324052776998037055)) + 3735936685*((x&y)^(y|3324052776998037055)) + 3735887311*(3324052776998037055^~(x|(y&3324052776998037055))),  49374 + 3735936685*x
18446744069973614931*(x&(4893088210445168461^z)) + 3735887311*((x&4893088210445168461)^~(x^(~4893088210445168461|z))) + 18446744069973713679*((x&z)^(x^(~4893088210445168461&z))) + 18446744066237727620*~(x|~4893088210445168461) + 3735837937*(z^~(~x|(~4893088210445168461&z))) + 18446744073709502242*~(x^(4893088210445168461&z)) + 3735936685*(4893088210445168461|(x&z)),  49374 + 3735936685*x
18446744069973614931*~(x|2919469902115268160) + 12297829379982442870*~(x|(2919469902115268160^z)) + 18446744069973614931*~(x|~2919469902115268160) + 12297829383718330181*(x^(2919469902115268160&z)) + 12297829383718330181*~(x&2919469902115268160) + 6148914693727108746*~(x&(~2919469902115268160&z)) + 6148914693727108746*(z^~(x|2919469902115268160)) + 6148914689991221435*((x&2919469902115268160)^(x^(2919469902115268160&z))),  49374 + 3735936685*x
18446744069973565557*(z^~(~x&(~128363933245901333&z))) + 3735936685*(128363933245901333^~(~x|(~128363933245901333&z))) + 7471873370*(x|~128363933245901333) + 18446744073709502242*(z&(x|128363933245901333)) + 18446744069973614931*~(128363933245901333&~z),  49374 + 3735936685*x
18446744066237727620*((x^y)&(x^2800249272216432593)) + 7471823996*~(x|~2800249272216432593) + 3735936685*(x&(y&2800249272216432593)) + 7471823996*~(~x&(y|2800249272216432593)) + 18446744066237727620*(y^(~x|(y^2800249272216432593))) + 18446744069973614931*~(x&~y) + 3735887311*(~x|(~y|2800249272216432593)),  49374 + 3735936685*x
9483808988894732603*(5450382308745418055^~(~x&(5450382308745418055^z))) + 17404996265549773810*(z^(x&(~5450382308745418055|z))) + 520873904079864216*((x&z)^(5450382308745418055|z)) + 520873904079864216*(5450382308745418055^(x|~z)) + 1562621712239691396*((x|~5450382308745418055)&(x^(5450382308745418055^z))) + 8442061180734905423*(~(x|5450382308745418055)|(x^(5450382308745418055^z))) + 17925870173365574711*x + 8962935084814819013*(z&(x|~5450382308745418055)),  49374 + 3735936685*x
18446744069973664305*(~x&(2800075253139721&z)) + 16802580945891617540*~(x|(~2800075253139721&z)) + 1644163131553821387*(~(x&~2800075253139721)&~(x^(2800075253139721^z))) + 1644163127817884702*(~x|(~2800075253139721&z)) + 16802580942155730229*(~(x|2800075253139721)|~(x^(2800075253139721^z))) + 18446744069973614931*((x|2800075253139721)&~(2800075253139721^z)) + 3735936685*((x&2800075253139721)^(x^(2800075253139721&z))) + 3735887311*(x|z),  49374 + 3735936685*x
18446744069973614931*(y&~2695400208890153135) + 3735936685*~2695400208890153135 + 18446744073709502242*(2695400208890153135^(~x|(y&2695400208890153135))) + 18446744069973614931*((y&~2695400208890153135)|~(x|(~y&2695400208890153135))) + 18446744066237678246*(2695400208890153135^(x&~y)) + 7471823996*(2695400208890153135^~(~x|(y&2695400208890153135))) + 3735936685*(y^(x&(y^2695400208890153135))),  49374 + 3735936685*x
49374*(x&(~3338605864554301492&z)) + 18446744073709502242*~(3338605864554301492&z) + 3735936685*x + 18446744073709502242*(z&(x|3338605864554301492)),  49374 + 3735936685*x
12266531711353939784*(~(x&y)&~(y^7360037704365957592)) + 6180212362355611832*(7360037704365957592^~(x&(y&7360037704365957592))) + 18446744069973565557*(~(x&~y)&(x^(y^7360037704365957592))) + 12266531715089925843*~(x^y) + 12266531715089876469*(x|(y^7360037704365957592)) + 3735986059*((x&y)^(x^(y&7360037704365957592))) + 12266531711353890410*~(~x&(y^7360037704365957592)) + 12360424720975237605*(x|(~y|7360037704365957592)),  49374 + 3735936685*x
9989601420440468140*(5753931253011738900^(~x|(5753931253011738900|z))) + 1532458770907321349*~(x|~z) + 16914285302802230267*(~x&(~5753931253011738900|z)) + 18446744069973614931*~(x&(~5753931253011738900|z)) + 8457142649533146791*(z&~(x&5753931253011738900)) + 8457142642061322795*((x|5753931253011738900)&(x^(5753931253011738900^z))) + 7471823996*(x|(5753931253011738900^z)) + 9989601427912292136*(~(x|~5753931253011738900)|~(5753931253011738900^z)),  49374 + 3735936685*x
18446744062501593439*(~(x&~y)&~(x^(y^5961775688127053774))) + 3735936685*(~(x|~y)|(y^5961775688127053774)) + 11207908803*~(~x|(~y&5961775688127053774)) + 18446744069973516183*((x&5961775688127053774)|~(y|5961775688127053774)) + 18446744062501593439*((x&y)|~(y|~5961775688127053774)) + 18446744069973565557*(5961775688127053774^(x&~y)) + 18446744069973565557*(y|~(x|~5961775688127053774)) + 14943944236*(5961775688127053774|~(x^y)),  49374 + 3735936685*x
7471774622*~(x|(3950996465225265938&z)) + 3735887311*((x&z)^(x^(~3950996465225265938&z))) + 18446744066237776994*(3950996465225265938^z) + 18446744066237727620*~x + 18446744069973664305*(z&~(x^3950996465225265938)) + 7471774622*(3950996465225265938|z),  49374 + 3735936685*x
18446744073709502242*((x|y)&~(x^(y^7091190894433010177))) + 98748*(7091190894433010177^(x&y)) + 49374*(x&(y&7091190894433010177)) + 98748*((x|y)&(x^(y^7091190894433010177))) + 3735887311*~(~x|(~y&7091190894433010177)) + 18446744069973565557*(y^(~x&(~y|7091190894433010177))) + 3735936685*(~(x^y)|~(x^7091190894433010177)) + 18446744073709452868*(7091190894433010177|(x^y)),  49374 + 3735936685*x
18446744066237727620*~(x|7290034866673941720) + 18446744069973614931*((x&7290034866673941720)^~(x^(7290034866673941720&z))) + 7471823996*(x&(~7290034866673941720&z)) + 7471823996*(z^(x&(~7290034866673941720|z))) + 18446744069973614931*~(x&(7290034866673941720|z)) + 18446744066237727620*(7290034866673941720^~(x|~z)) + 14943647992*(7290034866673941720^(~x&(~7290034866673941720|z))) + 18446744069973614931*(z&(x|7290034866673941720)),  49374 + 3735936685*x
18446744069973614931*(5237242612164966148^~(~x&(~y&5237242612164966148))) + 17354570965030312944*~(y|~5237242612164966148) + 3735887311*(5237242612164966148&~(x&y)) + 17354570968766200255*((x|~y)&~(y^5237242612164966148)) + 3735936685*(y^~(x&(y|5237242612164966148))) + 1092173108679238672*~(~x&(y&5237242612164966148)) + 1092173101207414676*((x&y)^(x^(~y|5237242612164966148))) + 17354570968766200255*~(x&~y),  49374 + 3735936685*x
12297829379982393496*(4359951701120380029^z) + 6148914686255235376*~(x|(4359951701120380029^z)) + 3735936685*(~(x&~4359951701120380029)&~(x^(4359951701120380029^z))) + 12297829383718330181*(z^(x&(~4359951701120380029|z))) + 18446744069973614931*((4359951701120380029&~z)|~(~x|(~4359951701120380029&z))) + 12297829383718330181*(4359951701120380029^~(x&(~4359951701120380029|z))) + 6148914697463045431*~(~x&(~4359951701120380029|z)),  49374 + 3735936685*x
18446744069973614931*(~x&(~1968434985743875979&z)) + 49374*(1968434985743875979^(~x|(1968434985743875979&z))) + 3735936685*((x&z)^(x^(~1968434985743875979&z))) + 18446744073709502242*~(1968434985743875979&z) + 18446744073709502242*(x^(~1968434985743875979|z)) + 3735887311*(x&(1968434985743875979&z)),  49374 + 3735936685*x
18446744066237776994*(~x&(~y&7977605272443218410)) + 18446744066237727620*~(x|~y) + 18446744069973664305*(7977605272443218410^(x|(~y&7977605272443218410))) + 7471774622*~(x|~7977605272443218410) + 7471823996*(y^(x&(~y|7977605272443218410))) + 18446744069973614931*~(x&(y&7977605272443218410)) + 3735887311*(~7977605272443218410|~(x^y)),  49374 + 3735936685*x
5286027880699308796*~(x|(y|8689118671617362702)) + 4386905401406017625*((y&8689118671617362702)^~(~x&(y^8689118671617362702))) + 4386905397670080940*((x&y)^(y|~8689118671617362702)) + 4386905393934144255*(~(x|~y)|~(x^(y^8689118671617362702))) + 8773810795340161880*(y^~(x&(~y|8689118671617362702))) + 3735936685*(y|(x&8689118671617362702)) + 8773810795340211254,  49374 + 3735936685*x
18446744073709502242*(2311271197985313605^(x|y)) + 18446744066237727620*(x&(y^2311271197985313605)) + 7471873370*~(~x|(y&2311271197985313605)) + 18446744073709502242*(y^(x|~2311271197985313605)) + 3735887311*(2311271197985313605^(~x&(y|2311271197985313605))) + 18446744069973664305*(2311271197985313605^~(x&(y|2311271197985313605))) + 3735887311*~(x^(y|2311271197985313605)),  49374 + 3735936685*x
10499522883094607699*((x&z)^(x^(~5024278374407749164&z))) + 18446744069973614931*(~x&(~5024278374407749164|z)) + 7947221190614943917*(~x&(5024278374407749164|z)) + 10499522883094607699*(~(x|~5024278374407749164)|~(x^(5024278374407749164^z))) + 13051824571838384170*(z&~(x&~5024278374407749164)) + 7947221194350831228*~(x&(5024278374407749164^z)) + 5394919505607104131*(z|(x&5024278374407749164)) + 10499522879358671014*(5024278374407749164|z),  49374 + 3735936685*x
16855751650501979037*~(x|(~4840958844489118052&z)) + 1590992419471635894*(z^~(~x&(4840958844489118052|z))) + 16855751657973803033*((x^4840958844489118052)|(x^z)) + 16855751661709739718*(~(x^4840958844489118052)&~(x^z)) + 16855751650501979037*(x&4840958844489118052) + 1590992419471635894*~(x^z) + 1590992423207572579*4840958844489118052 + 18446744069973614931*(~x|(4840958844489118052&z)),  49374 + 3735936685*x
3735887311*~(x|(~8192656847732798903&z)) + 18446744069973614931*(8192656847732798903^(x|~z)) + 18446744069973614931*(8192656847732798903^(x&(~8192656847732798903|z))) + 18446744066237678246*(~(x&~8192656847732798903)&(x^(8192656847732798903^z))) + 18446744073709502242*(x|(~8192656847732798903&z)) + 18446744069973614931*(~(x^8192656847732798903)|~(x^z)) + 11207810055*(x|(8192656847732798903^z)) + 3735936685*(z^~(x|8192656847732798903)),  49374 + 3735936685*x
7471873370*~(~x|(y&7227427281619252088)) + 3735936685*(~(x&y)&~(y^7227427281619252088)) + 49374*(y^~(~x&(y|7227427281619252088))) + 18446744069973565557*(y^(x&7227427281619252088)) + 3735936685*(7227427281619252088^(~x|(~y&7227427281619252088))) + 7471922744*(7227427281619252088|~(x|~y)) + 18446744066237579498*(~x|(~y|7227427281619252088)),  49374 + 3735936685*x
18446744062501741561*(y^~(~x|(y^1028538545442858200))) + 14943697366*(x^y) + 18446744066237678246*(1028538545442858200^~(~x|(~y&1028538545442858200))) + 18446744055029917565*(y&~(x^1028538545442858200)) + 18679634051*(y&(x|~1028538545442858200)) + 18446744073709502242*(y^~(x&(~y|1028538545442858200))) + 7471873370*(1028538545442858200^~(~x|(y&1028538545442858200))) + 18446744069973614931*(y|(x&1028538545442858200)),  49374 + 3735936685*x
7471922744*(~(x^676909778428015333)&(x^z)) + 18446744073709502242*((x|~676909778428015333)&~(x^(676909778428015333^z))) + 18446744069973614931*~(x&z) + 18446744069973614931*(x&676909778428015333) + 11207859429*((x&676909778428015333)|(x^(676909778428015333^z))) + 18446744066237628872*(676909778428015333^~(x&(676909778428015333&z))) + 18446744066237579498*(676909778428015333|(x^z)) + 11207859429*((x&~676909778428015333)|~(676909778428015333^z)),  49374 + 3735936685*x
18446744069973664305*~(x|y) + 7471774622*(x&(~y&3860471329467239826)) + 3735887311*((y&~3860471329467239826)|~(x|(~y&3860471329467239826))) + 18446744073709502242*(3860471329467239826^(x&(y|3860471329467239826))) + 18446744069973614931*~(x^(~y&3860471329467239826)) + 18446744066237826368*((x|y)&~(x^(y^3860471329467239826))) + 3735887311*(x^(y&3860471329467239826)) + 3735887311*(3860471329467239826|~(x^y)),  49374 + 3735936685*x
18446744069973565557*(~(x&~5856588429498995822)&(5856588429498995822^z)) + 18446744069973565557*(z^(x|~5856588429498995822)) + 7471972118*(z^(x&(5856588429498995822|z))) + 7471922744*(x|~z) + 18446744073709502242*(z^(x&~5856588429498995822)) + 49374*(~x|(5856588429498995822&z)) + 18446744069973516183*(~x|(5856588429498995822|z)),  49374 + 3735936685*x
18446744066237628872*((x^y)&~(x^3273444576536803380)) + 3735986059*(y^(x|3273444576536803380)) + 18446744073709502242*(y^(x|(~y|3273444576536803380))) + 18446744066237628872*(3273444576536803380^(x&(~y|3273444576536803380))) + 3735986059*(x^y) + 18446744073709502242*(x|y) + 3735936685*(x|3273444576536803380),  49374 + 3735936685*x
6148914686255284750*~(x|(7240668124637082855|z)) + 6148914689991172061*(z^(~x|(7240668124637082855|z))) + 12297829383718379555*~7240668124637082855 + 12297829383718330181*(~(x&~7240668124637082855)&~(x^(7240668124637082855^z))) + 12297829383718330181*(7240668124637082855^(x&(~7240668124637082855|z))) + 12297829379982393496*((x&7240668124637082855)^(7240668124637082855|z)) + 6148914693727158120*(z^~(x&(~7240668124637082855|z))) + 12297829383718280807*(7240668124637082855^~(x&(7240668124637082855&z))),  49374 + 3735936685*x
18446744069973614931*(1748920653882086438^(~x|(y|1748920653882086438))) + 12297829379982426412*(y^~(~x&(y^1748920653882086438))) + 6148914689991188519*~(y|~1748920653882086438) + 12297829376246489727*(1748920653882086438^(x&(~y|1748920653882086438))) + 7471823996*~(x&(y&1748920653882086438)) + 12297829387454250408*~(~x|(y^1748920653882086438)) + 6148914689991188519*((x&1748920653882086438)^~(x^(~y&1748920653882086438))),  49374 + 3735936685*x
18446744069973614931*(894371392041898433^(~x|(y|894371392041898433))) + 14943697366*(894371392041898433^(x|(y|894371392041898433))) + 18446744069973614931*~894371392041898433 + 3735936685*(~(x&~y)&~(x^(y^894371392041898433))) + 18446744062501790935*(y^~(~x|(y^894371392041898433))) + 7471823996*(~(x|~y)|~(x^(y^894371392041898433))) + 18446744069973614931*(~x|(y^894371392041898433)) + 3735887311*(894371392041898433^(x&~y)),  49374 + 3735936685*x
7905747462829755557*~(y&5132969613826981944) + 7905747459093818872*(x^(y|5132969613826981944)) + 7905747459093818872*((x&5132969613826981944)^(y|5132969613826981944)) + 7905747462829755557*(y^(x&(~y|5132969613826981944))) + 13176245766401660557*(~y|(x^5132969613826981944)) + 13176245773873533927*(x&(y&5132969613826981944)) + 15811494918187637744*(5132969613826981944^(~x|(~y&5132969613826981944))) + 7905747459093818872*(5132969613826981944^(~x&(y|5132969613826981944))),  49374 + 3735936685*x
3735887311*(x&~4768064976060924867) + 18446744066237678246*(~y&(x^4768064976060924867)) + 49374*(4768064976060924867^(x|y)) + 18446744069973614931*(y^(~x|(y|4768064976060924867))) + 3735887311*(~(x&y)&(y^4768064976060924867)) + 18446744066237678246*(y&~(x&4768064976060924867)) + 3735936685*(4768064976060924867^~(~x|(~y&4768064976060924867))) + 3735887311*~(x&(~y&4768064976060924867)),  49374 + 3735936685*x
18446744066237678246*((y&~4353384185731587048)|~(x|(~y&4353384185731587048))) + 18446744069973614931*((x&y)|~(y|4353384185731587048)) + 7471873370*(4353384185731587048^~(x&(y|4353384185731587048))) + 18446744069973614931*~(~x&(~y|4353384185731587048)) + 18446744069973614931*(4353384185731587048^~(x|(~y&4353384185731587048))) + 18446744058765854250*((x&4353384185731587048)^~(x^(~y&4353384185731587048))) + 18679634051*(y|~(x|4353384185731587048)) + 3735887311*(~x|(~y|4353384185731587048)),  49374 + 3735936685*x
3735887311*~(x|7716861313769849029) + 18446744066237727620*~x + 3735887311*~(x&(7716861313769849029&z)) + 3735887311*7716861313769849029 + 3735887311*~(7716861313769849029&~z) + 18446744069973664305*(x|(~7716861313769849029|z)),  49374 + 3735936685*x
32916*(5382527605013695184^~(x&(5382527605013695184^z))) + 18446744066237892200*(~x&(5382527605013695184&z)) + 18446744073709452868*(z^~(~x&(5382527605013695184&z))) + 3735903769*~(x^(5382527605013695184^z)) + 18446744073709535158*(~(x|~5382527605013695184)|(5382527605013695184^z)) + 3735953143*((5382527605013695184&~z)|~(~x|(~5382527605013695184&z))) + 18446744069973664305*(5382527605013695184^(~x&(~5382527605013695184|z))) + 3735821479*(z&~(x&~5382527605013695184)),  49374 + 3735936685*x
11892925454480955305*(z^(~x|(~4145285479548733519|z))) + 13107637238457192622*(~z&~(x^4145285479548733519)) + 6553818622964483622*(~4145285479548733519&(x^z)) + 6553818619228596311*(z^~(x&~4145285479548733519)) + 11892925458216842616*(~(x|~4145285479548733519)|~(x^(4145285479548733519^z))) + 6553818626700420307*(x&(4145285479548733519&z)) + 5339106835252358994*~(x^4145285479548733519) + 6553818615492659626*(~x|(4145285479548733519&z)),  49374 + 3735936685*x
18446744058765854250*(~(x&~y)&(y^1735082140129535675)) + 18446744062501790935*((x^y)&~(x^1735082140129535675)) + 18679584677*(y^1735082140129535675) + 3735936685*(y&~(x^1735082140129535675)) + 3735887311*(~(x|~y)|~(y^1735082140129535675)) + 18446744069973614931*(1735082140129535675|~(x|y)),  49374 + 3735936685*x
3735837937*(y^(~x|(~y|3382000798843079228))) + 3735936685*(y&(x^3382000798843079228)) + 18446744069973664305*(3382000798843079228^~(~x|(~y&3382000798843079228))) + 3735986059*(y^~(x&(y&3382000798843079228))) + 11207760681*(y^(x&~3382000798843079228)) + 18446744062501741561*(~(x|~y)|(x^(y^3382000798843079228))) + 18446744066237678246*(3382000798843079228^~(x|y)) + 7471823996*3382000798843079228,  49374 + 3735936685*x
3735936685*(3265342179822422636^(~x|(~3265342179822422636|z))) + 18446744073709502242*(3265342179822422636^(x&z)) + 18446744069973614931*~(x&(3265342179822422636&z)) + 18446744073709502242*(3265342179822422636^~(x&z)) + 3735936685*(x|3265342179822422636),  49374 + 3735936685*x
3689348812500358187*(~4598675981465715379&(x^y)) + 18446744069973614931*(y^(~x|(y&4598675981465715379))) + 3689348816236294872*(y&~(x&4598675981465715379)) + 7378697628736603685*(x^4598675981465715379) + 11068046448708835242*~(~x&(y&4598675981465715379)) + 11068046441236961872*((x&4598675981465715379)^~(x^(~y&4598675981465715379))) + 7378697632472589744*((x&y)|~(y^4598675981465715379)) + 7378697628736603685*~(~x&(~y&4598675981465715379)),  49374 + 3735936685*x
18446744051294079628*(~(x&y)&(x^(y^1665911600648374682))) + 14943647992*((x&~y)|(y^1665911600648374682)) + 18446744069973614931*((x&1665911600648374682)^(y|1665911600648374682)) + 7471823996*(1665911600648374682^~(x&(y&1665911600648374682))) + 7471823996*(1665911600648374682&~(x^y)) + 18446744058765903624*~(x^(y|1665911600648374682)) + 18446744069973664305*(1665911600648374682|(x^y)) + 7471774622*(~x|(~y|1665911600648374682)),  49374 + 3735936685*x
7471823996*(y^(~x|(y&3891359230667693809))) + 7471774622*(x&~y) + 18446744073709502242*~(x&(~y|3891359230667693809)) + 7471823996*(3891359230667693809&(x^y)) + 18446744066237727620*((y&~3891359230667693809)^(~x|(y^3891359230667693809))) + 18446744069973664305*(3891359230667693809^~(~x|(~y&3891359230667693809))) + 3735887311*(3891359230667693809&~(x&~y)),  49374 + 3735936685*x
3735986059*(x^6195667885636500846) + 18446744073709502242*((x&6195667885636500846)^(y|6195667885636500846)) + 18446744073709502242*(y^(x|(y^6195667885636500846))) + 18446744069973664305*~(x&y) + 18446744073709502242*(~y|(x^6195667885636500846)) + 3735887311*(6195667885636500846^~(x&y)) + 18446744066237678246*((x&6195667885636500846)^~(x^(~y&6195667885636500846))) + 7471873370*(6195667885636500846^~(x|(y&6195667885636500846))),  49374 + 3735936685*x
12297829376246456811*(~(x^5848397806893060628)&(x^z)) + 6148914689991172061*((x|~5848397806893060628)&~(x^(5848397806893060628^z))) + 12297829379982442870*(z^(x|~5848397806893060628)) + 18446744073709502242*(5848397806893060628^~(~x|(5848397806893060628^z))) + 12297829383718330181*(5848397806893060628^~(x&(5848397806893060628|z))) + 12297829379982393496*(5848397806893060628^~(x|z)) + 12297829372510470752*~(5848397806893060628&~z) + 14943796114*(x|(~5848397806893060628|z)),  49374 + 3735936685*x
3735936685*~(~x|(~y|378722302523511638)) + 18446744069973565557*(x^378722302523511638) + 3735936685*~(x^(~y|378722302523511638)) + 18446744069973565557*(~y|~(x^378722302523511638)) + 18446744069973565557*((x&y)|~(x^(y^378722302523511638))) + 7471922744*(x|(~y|378722302523511638)),  49374 + 3735936685*x
12297829379982393496*~(x|(y|1058712703259543729)) + 6148914689991221435*(1058712703259543729^(~x|(~y|1058712703259543729))) + 6148914686255284750*(~x&(y|1058712703259543729)) + 6148914693727108746*(y^(x&1058712703259543729)) + 18446744069973664305*(1058712703259543729^~(x&(~y|1058712703259543729))) + 12297829387454217492*~(~x&(y&1058712703259543729)) + 6148914693727108746*((x&1058712703259543729)^~(x^(~y&1058712703259543729))),  49374 + 3735936685*x
18446744069973664305*~(y|1898805757594615125) + 8594848088096553426*((y&1898805757594615125)^~(~x&(y^1898805757594615125))) + 9851895989348885501*(y^~(~x&(y&1898805757594615125))) + 3735936685*~(~x|(y^1898805757594615125)) + 9851895989348885501*(1898805757594615125^~(x&(y&1898805757594615125))) + 8594848084360616741*~(x&(y^1898805757594615125)),  49374 + 3735936685*x
