9925453257363832303*~(y|~5148131303079159687) + 7471873370*(y^(~x|(y|5148131303079159687))) + 18446744069973614931*~y + 4260645406304891314*(y^5148131303079159687) + 3735936685*(y^(x|(y^5148131303079159687))) + 9925453264835705673*(y^~(x|(y^5148131303079159687))) + 4260645406304891314*~(x^(y&5148131303079159687)) + 4260645402568954629*~(x^(y|5148131303079159687)),  3735936685*~x
18446744066237678246*(z^(x|(5450382308745418055&z))) + 18446744058765804876*(x&~5450382308745418055) + 7471873370*(5450382308745418055^(x|(5450382308745418055|z))) + 11207810055*~5450382308745418055 + 7471873370*(x&(5450382308745418055|z)) + 18446744062501741561*(5450382308745418055^(~x|(5450382308745418055^z))) + 3735936685*~(x&(5450382308745418055^z)),  3735936685*~x
14943746740*~(~x|(2800075253139721|z)) + 3735936685*(2800075253139721&~z) + 18446744062501741561*((2800075253139721&z)^~(~x&(2800075253139721^z))) + 18446744066237678246*(2800075253139721^(x|(2800075253139721|z))) + 11207810055*(2800075253139721^~(x&~z)) + 18446744069973614931*(z^(x|~2800075253139721)) + 7471873370*(2800075253139721^(x|~z)),  3735936685*~x
3735936685*((y&2695400208890153135)^~(x&(y^2695400208890153135))) + 1455994358781960155*(~y&~(x^2695400208890153135)) + 3735936685*(~x&(y|2695400208890153135)) + 16990749718663528146*~(x^(y^2695400208890153135)) + 18446744069973614931*~(x&(y&2695400208890153135)) + 16990749714927591461*(~y|~(x^2695400208890153135)) + 16990749714927591461,  3735936685*~x
3735936685*(~z&~(x^3338605864554301492)) + 18446744069973614931*(x|(~3338605864554301492&z)) + 18446744069973614931*(3338605864554301492^~(x|z)) + 3735936685*((x&3338605864554301492)^(x^(~3338605864554301492|z))) + 3735936685*(x|(3338605864554301492|z)),  3735936685*~x
12297829387454283324*(~(x&~y)&(y^7360037704365957592)) + 6148914693727141662*((y&7360037704365957592)^~(~x&(y^7360037704365957592))) + 12297829394926156694*(x^y) + 14943746740*(~(x^y)&~(x^7360037704365957592)) + 12297829376246473269*(7360037704365957592^~(x&y)) + 6148914697463078347*(7360037704365957592^(x&~y)) + 18446744066237678246*(x|y) + 18446744066237678246*~(y&~7360037704365957592),  3735936685*~x
3735936685*(5753931253011738900^~(x&(5753931253011738900^z))) + 18446744062501741561*~(5753931253011738900|~z) + 18446744066237678246*((x&~5753931253011738900)|~(x^(5753931253011738900^z))) + 11207810055*((x^5753931253011738900)|(x^z)) + 18446744066237678246*((x&5753931253011738900)|(x^(5753931253011738900^z))) + 7471873370*(5753931253011738900^(~x|(5753931253011738900^z))),  3735936685*~x
3735936685*~(y|5961775688127053774) + 3735936685*((x&y)^(y|5961775688127053774)) + 3735936685*(5961775688127053774&(x|~y)) + 18446744069973614931*(x|(y^5961775688127053774)) + 3735936685*(y|~5961775688127053774) + 18446744069973614931*((x&~y)|~(y^5961775688127053774)),  3735936685*~x
22415620110*(~(x&3950996465225265938)&(x^(3950996465225265938^z))) + 18446744055029868191*(z^~(~x&(~3950996465225265938&z))) + 18446744066237678246*(z^(~x|(3950996465225265938&z))) + 11207810055*((x|~3950996465225265938)&~(x^(3950996465225265938^z))) + 14943746740*(~(x&~3950996465225265938)&~(x^(3950996465225265938^z))) + 18446744069973614931*(3950996465225265938^(x|~z)) + 7471873370*(~(x|3950996465225265938)|(x^(3950996465225265938^z))) + 18446744066237678246*(z^~(~x|(3950996465225265938&z))),  3735936685*~x
7471873370*(~7091190894433010177&~(x^y)) + 3735936685*~(x|~7091190894433010177) + 18446744069973614931*(7091190894433010177^(x&y)) + 18446744069973614931*(y^~(x|(~y&7091190894433010177))) + 3735936685*(7091190894433010177|~(x|~y)),  3735936685*~x
14188605931794390014*~(7290034866673941720|z) + 15610579249727518211*~z + 11352441107812356609*((x&z)^(x^(~7290034866673941720&z))) + 2836164823982033405*((x&~7290034866673941720)|(7290034866673941720^z)) + 11352441111548293294*~x + 11352441107812356609*((x&7290034866673941720)|~(7290034866673941720|~z)) + 14188605931794390014*(7290034866673941720|~(x|z)) + 11352441107812356609*(7290034866673941720^~(~x|(7290034866673941720&z))),  3735936685*~x
18446744069973614931*~(x|5237242612164966148) + 18446744069973614931*((y&5237242612164966148)^~(~x&(y^5237242612164966148))) + 7471873370*~(x&(y&5237242612164966148)) + 3735936685*(5237242612164966148^(~x|(~y&5237242612164966148))) + 18446744069973614931*(x|(y|5237242612164966148)),  3735936685*~x
7471873370*(z^(x|4359951701120380029)) + 3735936685*(x&(4359951701120380029^z)) + 11207810055*((4359951701120380029&z)^~(~x&(4359951701120380029^z))) + 18446744066237678246*(z^~(~x&(4359951701120380029&z))) + 18446744062501741561*~(~x&(~4359951701120380029|z)) + 14943746740*(4359951701120380029&~(x&~z)) + 18446744069973614931*(z|(x&4359951701120380029)),  3735936685*~x
3735936685*(z^(x&(~1968434985743875979|z))) + 3735936685*((x&z)^~(x^(~1968434985743875979&z))) + 18446744069973614931*(~(x^1968434985743875979)|(x^z)) + 18446744069973614931*((x&1968434985743875979)^(x^(1968434985743875979&z))) + 3735936685*(x|(~1968434985743875979|z)),  3735936685*~x
10678143181233342948*~(x|(~y|7977605272443218410)) + 13107672483092880142*((x&y)^~(x^(y&7977605272443218410))) + 5339071590616671474*(7977605272443218410^(x|(~y&7977605272443218410))) + 10678143177497406263*(y^(~x&(y|7977605272443218410))) + 13107672483092880142*(x^(~y&7977605272443218410)) + 13107672486828816827*(y|~(x|~7977605272443218410)) + 13107672479356943457*((y&7977605272443218410)|(x&(y|7977605272443218410))) + 5339071594352608159*(7977605272443218410|~(x^y)),  3735936685*~x
3735936685*~(~x|(y|8689118671617362702)) + 3735936685*~(x|8689118671617362702) + 18446744069973614931*~(y&8689118671617362702) + 18446744069973614931*(y&(x^8689118671617362702)) + 7471873370*~(x&(~y|8689118671617362702)) + 18446744069973614931*~(x&(y^8689118671617362702)) + 3735936685*(8689118671617362702|(x&~y)),  3735936685*~x
18446744066237678246*(y^(x&(y|2311271197985313605))) + 7471873370*(y^(x&(~y|2311271197985313605))) + 3735936685*(2311271197985313605^(~x&(y|2311271197985313605))) + 18446744066237678246*x + 3735936685*(2311271197985313605|~(x|y)),  3735936685*~x
18446744069973614931*~(x|~z) + 7471873370*~(x&(~5024278374407749164|z)) + 18446744069973614931*(~x|(5024278374407749164^z)) + 18446744069973614931*(5024278374407749164^~(x|(5024278374407749164^z))) + 3735936685*~(x&~z),  3735936685*~x
12297829376246473269*(4840958844489118052^~(~x&(4840958844489118052^z))) + 12297829383718346639*(x^4840958844489118052) + 12297829387454283324*(z&~(x&4840958844489118052)) + 6148914701199015032*(4840958844489118052^~(x|(4840958844489118052^z))) + 12297829376246473269*(4840958844489118052^~(x&(~4840958844489118052|z))) + 6148914689991204977*((x&4840958844489118052)|(x^(4840958844489118052^z))) + 6148914682519331607*(4840958844489118052&(x|z)) + 6148914697463078347*(~(x|4840958844489118052)|~(4840958844489118052^z)),  3735936685*~x
18446744069973614931*~z + 18446744069973614931*(~x&(8192656847732798903^z)) + 3735936685*(8192656847732798903^~(~x|(~8192656847732798903&z))) + 7471873370*~(x&z) + 18446744069973614931*(x^8192656847732798903) + 3735936685*(z^~(x|~8192656847732798903)) + 18446744069973614931*(z^~(~x|(8192656847732798903&z))),  3735936685*~x
13176245769603920215*(~y&(x^7227427281619252088)) + 5270498307841568086*(y^(x|~7227427281619252088)) + 10540996615683136172*(7227427281619252088&~(x&y)) + 2635249153920784043*(y^~(x|(y^7227427281619252088))) + 13176245765867983530*(y^~(x&(y|7227427281619252088))) + 2635249153920784043*((x&7227427281619252088)^(x^(y&7227427281619252088))) + 15811494923524704258*(~x|(y&7227427281619252088)) + 2635249150184847358*(7227427281619252088|(x&~y)),  3735936685*~x
11207810055*(x&(~y&1028538545442858200)) + 3735936685*~(x&(y&1028538545442858200)) + 3735936685*((x|~y)&~(y^1028538545442858200)) + 18446744069973614931*(1028538545442858200^(~x&(y|1028538545442858200))) + 3735936685*(y&~(x&~1028538545442858200)) + 7471873370*(y^(~x&(y^1028538545442858200))) + 18446744069973614931*((x&y)|~(x^(y^1028538545442858200))) + 18446744066237678246*(x|1028538545442858200),  3735936685*~x
18446744069973614931*(x&(676909778428015333^z)) + 18446744069973614931*~(x|~676909778428015333) + 3735936685*~(x&676909778428015333) + 18446744069973614931*~(~x|(676909778428015333^z)) + 3735936685*676909778428015333,  3735936685*~x
18446744066237678246*(y^~(x&(~y&3860471329467239826))) + 7471873370*(3860471329467239826^(x|y)) + 18446744069973614931*(~(x&~y)&(x^(y^3860471329467239826))) + 18446744069973614931*(~(x|~y)|~(y^3860471329467239826)) + 7471873370*(3860471329467239826^~(~x|(y&3860471329467239826))) + 18446744069973614931*~(y&~3860471329467239826) + 18679683425*~(x&~3860471329467239826) + 18446744058765804876*(y|3860471329467239826),  3735936685*~x
12264162373125352854*~(x|(5856588429498995822&z)) + 3735936685*(~x&(5856588429498995822&z)) + 12365163408640270894*(z^~(~x&(5856588429498995822&z))) + 12264162369389416169*(x^5856588429498995822) + 12365163408640270894*(z&(x|~5856588429498995822)) + 12264162369389416169*(x|~5856588429498995822) + 12264162369389416169*(5856588429498995822&(x|z)),  3735936685*~x
13930652132497421207*~(~x|(~y|3273444576536803380)) + 4516091937476193724*(y^~(x&(~y&3273444576536803380))) + 13930652136233357892*(~(x&y)&(y^3273444576536803380)) + 13930652139969294577*((x&3273444576536803380)^~(y&~3273444576536803380)) + 18446744069973614931*(y^(x|(y^3273444576536803380))) + 4516091941212130409*(~(x|~y)|(y^3273444576536803380)),  3735936685*~x
3735936685*~(~x|(~7240668124637082855|z)) + 3735936685*(~(x&7240668124637082855)&(x^(7240668124637082855^z))) + 18446744069973614931*(z&~(x^7240668124637082855)) + 3735936685*(7240668124637082855&z) + 18446744069973614931*((x&z)^(x^(7240668124637082855&z))) + 3735936685*((x&7240668124637082855)^(x^(~7240668124637082855|z))),  3735936685*~x
18446744072962364279*(~1748920653882086438&(x^y)) + 747187337*((x&1748920653882086438)^~(x^(y&1748920653882086438))) + 18446744072962364279*((x&y)^(y|1748920653882086438)) + 2988749348*((x^y)|(x^1748920653882086438)) + 1494374674*(1748920653882086438^(~x|(~y&1748920653882086438))) + 18446744070720802268*x + 747187337*(~(x&~y)&~(y^1748920653882086438)) + 747187337*(~(x|y)|~(y^1748920653882086438)),  3735936685*~x
3735936685*((x&y)^~(x^(y&894371392041898433))) + 12297829383718346639*((y&~894371392041898433)^(~x|(y^894371392041898433))) + 12297829383718346639*(894371392041898433^(~x|(~y&894371392041898433))) + 12297829379982409954*(y^(~x&(~y|894371392041898433))) + 6148914689991204977*((x&y)|(y^894371392041898433)) + 6148914693727141662*((y&894371392041898433)|(~x&(y|894371392041898433))),  3735936685*~x
18446744069973614931*((y&5132969613826981944)^~(x&(y^5132969613826981944))) + 7471873370*(5132969613826981944^~(~x&(y|5132969613826981944))) + 7471873370*(y^~(x&(~y|5132969613826981944))) + 18446744066237678246*(y^(~x|(~y&5132969613826981944))) + 3735936685*(~(x^y)|~(x^5132969613826981944)) + 18446744066237678246*(~(x^y)|(x^5132969613826981944)) + 18446744069973614931,  3735936685*~x
18446744062501741561*(~(x^y)&(x^4768064976060924867)) + 3735936685*((x&4768064976060924867)^~(x^(y&4768064976060924867))) + 7471873370*~(x|~4768064976060924867) + 18446744069973614931*(x^y) + 3735936685*(y^(x&4768064976060924867)) + 3735936685*(y^(x|(y^4768064976060924867))) + 7471873370*(y^~(x|(y^4768064976060924867))) + 18446744066237678246*(4768064976060924867^~(x|(y&4768064976060924867))),  3735936685*~x
18446744069973614931*(y^~(x&(~y&4353384185731587048))) + 18446744069973614931*(y^~(x&~4353384185731587048)) + 11207810055*(x^4353384185731587048) + 11207810055*((x&~y)|~(x^(y^4353384185731587048))) + 18446744055029868191*(y^(x&(~y|4353384185731587048))) + 18446744062501741561*(y^(~x&(y|4353384185731587048))) + 18446744062501741561*((x&y)|~(y|~4353384185731587048)) + 22415620110*((x&y)|(y^4353384185731587048)),  3735936685*~x
1080022127365748473*(7716861313769849029&~z) + 4320088516934867262*(7716861313769849029^~(x&(7716861313769849029^z))) + 17366721942607866458*(7716861313769849029^~(~x&(~7716861313769849029&z))) + 17366721946343803143*((x&z)^~(x^(7716861313769849029&z))) + 2160044258467433631*(7716861313769849029^(x|(~7716861313769849029&z))) + 5400110644300615735*(x&(7716861313769849029&z)) + 15206677684140432827*(x^(~7716861313769849029&z)) + 16286699818978054670*~(x&(~7716861313769849029&z)),  3735936685*~x
6059253241870443802*(z^(~x|(~5382527605013695184|z))) + 6059253245606380487*(x^z) + 12118506472533077549*(z&~(x&5382527605013695184)) + 6328237593704600697*~(x&(5382527605013695184&z)) + 6059253234398570432*(~(x|5382527605013695184)|(x^(5382527605013695184^z))) + 12387490831839107814*((x&z)^(x^(5382527605013695184&z))) + 12118506476269014234*(5382527605013695184|~(x^z)) + 6328237604912410752*~(x&~z),  3735936685*~x
18446744055029868191*~(4145285479548733519|z) + 11207810055*(4145285479548733519^~(x&(~4145285479548733519&z))) + 7471873370*((x&z)^(x^(~4145285479548733519&z))) + 18446744058765804876*(4145285479548733519^~(x|~z)) + 11207810055*(~4145285479548733519|~(x^z)) + 14943746740*(4145285479548733519&z) + 7471873370*(4145285479548733519|(x^z)) + 18446744055029868191*(z|(x&~4145285479548733519)),  3735936685*~x
18446744069973614931*(~(x&y)&(x^(y^1735082140129535675))) + 7471873370*((y&1735082140129535675)^~(x&(y^1735082140129535675))) + 18446744069973614931*((x|~y)&(y^1735082140129535675)) + 18446744069973614931*((x^y)|(x^1735082140129535675)) + 18446744069973614931*(x&(y&1735082140129535675)) + 18446744069973614931*(1735082140129535675^(~x|(~y&1735082140129535675))) + 7471873370*(y|1735082140129535675),  3735936685*~x
11142088575088936551*~(~x|(y|3382000798843079228)) + 11142088578824873236*((x&y)^~(x^(y&3382000798843079228))) + 11142088578824873236*(y^~(~x&(y|3382000798843079228))) + 3837433080204258171*(x&(y&3382000798843079228)) + 7304655494884678380*(x|~3382000798843079228) + 7304655498620615065*~(x&(y^3382000798843079228)),  3735936685*~x
11782745728473183592*(~x&(3265342179822422636&z)) + 6663998348972304709*~(x|(~3265342179822422636&z)) + 11782745728473183592*(~(x|~3265342179822422636)|~(x^(3265342179822422636^z))) + 6663998345236368024*(z^(x&3265342179822422636)) + 6663998341500431339*(x&(3265342179822422636&z)) + 11782745732209120277*(z&~(x^3265342179822422636)),  3735936685*~x
7471873370*(y^~(~x|(y^4598675981465715379))) + 18446744066237678246*(4598675981465715379^(~x&(y|4598675981465715379))) + 3735936685*(x|~4598675981465715379) + 7471873370*(4598675981465715379&(x|~y)) + 7471873370*4598675981465715379 + 18446744062501741561*(x|4598675981465715379),  3735936685*~x
18446744069973614931*~y + 18446744069973614931*(y^(x&1665911600648374682)) + 3735936685*~(x&y) + 3735936685*(~x|(y^1665911600648374682)),  3735936685*~x
1294661389723003142*(3891359230667693809^~(x&~y)) + 17152082687722485159*((x|y)&~(x^(y^3891359230667693809))) + 17799413378848050045*(~(x^y)&~(x^3891359230667693809)) + 17799413382583986730*(~(x|y)|(x^(y^3891359230667693809))) + 647330691125564886*x + 17799413378848050045*((x&y)|(y^3891359230667693809)) + 1294661389723003142*(3891359230667693809&~(x&~y)),  3735936685*~x
12297829379982409954*(~6195667885636500846&~(x^y)) + 12297829387454283324*(y^(~x|(y&6195667885636500846))) + 12297829376246473269*(y^(x|6195667885636500846)) + 12297829387454283324*(y^~(~x|(~y&6195667885636500846))) + 12297829383718346639*((x&~y)|~(x^(y^6195667885636500846))) + 12297829383718346639*((x&y)^(y|6195667885636500846)) + 3735936685*((x&~y)|(x^(y^6195667885636500846))) + 18446744069973614931*((x&6195667885636500846)^(x^(y&6195667885636500846))),  3735936685*~x
12297829383718346639*~(x&(5848397806893060628|z)) + 12297829383718346639*~(x^(~5848397806893060628&z)) + 12297829379982409954*x + 12297829383718346639*(x|(~5848397806893060628&z)) + 12297829383718346639*~(x&~5848397806893060628),  3735936685*~x
3735936685*~(x|(~y|378722302523511638)) + 6148914689991204977*(378722302523511638^~(~x&(~y&378722302523511638))) + 6148914693727141662*~(x|(y^378722302523511638)) + 12297829387454283324*(378722302523511638^(x&(~y|378722302523511638))) + 6148914693727141662*(~(x^y)&~(x^378722302523511638)) + 12297829383718346639*(y&(x|~378722302523511638)) + 18446744069973614931*((x|y)&~(y^378722302523511638)),  3735936685*~x
3735936685*~(y|1058712703259543729) + 18446744066237678246*(y^~(~x|(~y&1058712703259543729))) + 18446744062501741561*(x|~y) + 18446744069973614931*(y|~(x^1058712703259543729)) + 18446744058765804876,  3735936685*~x
3735936685*~(x|1898805757594615125) + 3677668772667615870*(1898805757594615125^(~x|(~y|1898805757594615125))) + 7384537650520967873*(~(x&y)&(x^(y^1898805757594615125))) + 14769075301041935746*((x|~y)&(y^1898805757594615125)) + 14769075297305999061*(~(x^y)&~(x^1898805757594615125)) + 7384537650520967873*~(~x&(~y|1898805757594615125)) + 14739875195856199613*((x&y)|~(y|~1898805757594615125)) + 3735936685*((x&y)^(x^(~y|1898805757594615125))),  3735936685*~x
18446744062501741561*(403746588109512465^(x|(y&403746588109512465))) + 3735936685*(403746588109512465^(x|~y)) + 7471873370*(403746588109512465^~(~x&(~y|403746588109512465))) + 3735936685*(y^~(x&(~y|403746588109512465))) + 3735936685*~(x^(y&403746588109512465)) + 18446744066237678246*((x&403746588109512465)^~(x^(~y&403746588109512465))),  3735936685*~x
18446744069973614931*(~x&(~y&2479373878902455989)) + 18446744069973614931*(y^(x|(y|2479373878902455989))) + 7471873370*(y^(x|(~y&2479373878902455989))) + 3735936685*~(x^y) + 18446744069973614931*(x|y),  3735936685*~x
14712871338532460759*(7957420031436235347^(x|(7957420031436235347&z))) + 11424237792763428500*(~(x&7957420031436235347)&~(7957420031436235347^z)) + 7245125871914215730*(z^(x&(~7957420031436235347|z))) + 3511253144208998243*~(x&(7957420031436235347|z)) + 3511253140473061558*(~(x&7957420031436235347)&~(x^(7957420031436235347^z))) + 222619594704029299*((x&7957420031436235347)^(7957420031436235347|z)) + 7467745466618245029*(7957420031436235347^~(x&z)) + 10978998607091306587*~(7957420031436235347^z),  3735936685*~x
18446744062501741561*~(x|~7197287451345241370) + 7471873370*(7197287451345241370^(x&y)) + 18446744066237678246*(x&7197287451345241370) + 3735936685*((x&y)^(x^(~y|7197287451345241370))) + 11207810055*((y&7197287451345241370)|(~x&(y|7197287451345241370))) + 18446744066237678246*(y|~(x|~7197287451345241370)),  3735936685*~x
13605294556326250315*(z^(~x|(4376982096081166344|z))) + 4841449521119237986*~z + 3735936685*(z^(x|(4376982096081166344&z))) + 13605294548854376945*((x&z)^~(x^(4376982096081166344&z))) + 3735936685*((x|4376982096081166344)&(x^(4376982096081166344^z))) + 13605294545118440260*~(~x|(~4376982096081166344&z)) + 4841449521119237986*(~(x^4376982096081166344)|~(x^z)) + 3735936685*(z|~(x|4376982096081166344)),  3735936685*~x
18446744069973614931*x + 18446744069973614931*(y&8864105032128747793) + 3735936685*(y|~(x|8864105032128747793)) + 3735936685*(x|(y&8864105032128747793)) + 18446744069973614931*(y|(x&8864105032128747793)) + 3735936685*(8864105032128747793|~(x|~y)),  3735936685*~x
18446744066237678246*(z^(x&(4979937648387955532|z))) + 3735936685*(z^~(~x&(~4979937648387955532|z))) + 3735936685*(~(x|~4979937648387955532)|(4979937648387955532^z)) + 18446744069973614931*~(~x&(~4979937648387955532|z)) + 3735936685*(4979937648387955532^~(x|(4979937648387955532&z))),  3735936685*~x
3735936685*(y^~(~x&(~y&3837651999581786874))) + 18446744069973614931*(y^(x|~3837651999581786874)) + 18446744069973614931*(y^~(~x&(y&3837651999581786874))) + 18446744066237678246*(~(x^y)&~(x^3837651999581786874)) + 18446744066237678246*((x|~y)&(x^(y^3837651999581786874))) + 3735936685*(3837651999581786874^~(x|(~y&3837651999581786874))) + 11207810055*(~(x|y)|~(y^3837651999581786874)),  3735936685*~x
18446744069973614931*(7595368458206515230^z) + 6148914686255268292*(x^(~7595368458206515230|z)) + 18446744066237678246*(7595368458206515230^~(~x&(~7595368458206515230|z))) + 12297829391190220009*~(x^(7595368458206515230^z)) + 6148914701199015032*((x&7595368458206515230)^(7595368458206515230|z)) + 6148914701199015032*(7595368458206515230^~(x&z)) + 18446744066237678246*(7595368458206515230^(~x|(7595368458206515230^z))) + 12297829379982409954*(~(x|~7595368458206515230)|~(7595368458206515230^z)),  3735936685*~x
8642867237019991610*~(x|(3752944261806794383|z)) + 9803876836689560006*(3752944261806794383^~(x|(~3752944261806794383&z))) + 4321433618509995805*(3752944261806794383^~(x|(3752944261806794383^z))) + 4321433614774059120*((x|~3752944261806794383)&(x^(3752944261806794383^z))) + 18446744069973614931*(~(x|~3752944261806794383)|~(3752944261806794383^z)) + 4321433618509995805*(3752944261806794383&(x|z)) + 14125310462671429181*~(x&(3752944261806794383^z)),  3735936685*~x
11207810055*(~(x&y)&(x^(y^4059961448189282016))) + 14943746740*(~y&~(x^4059961448189282016)) + 18679683425*((x|y)&(y^4059961448189282016)) + 18446744066237678246*~(y&4059961448189282016) + 18446744062501741561*((x|y)&~(x^(y^4059961448189282016))) + 18446744058765804876*(4059961448189282016^(~x&(y|4059961448189282016))) + 18679683425*(y&4059961448189282016) + 18446744069973614931*(~(x|~y)|~(y^4059961448189282016)),  3735936685*~x
18446744069973614931*(~x&(915203902983365293&z)) + 18446744069973614931*((x|~915203902983365293)&~(915203902983365293^z)) + 18446744069973614931*(915203902983365293^(~x&(915203902983365293|z))) + 3735936685*(z^(x&~915203902983365293)) + 3735936685*~(x&~915203902983365293) + 18446744069973614931*(x|915203902983365293) + 3735936685*~(~x&(~915203902983365293&z)),  3735936685*~x
7471873370*(5543330405467440902^~(x&(5543330405467440902^z))) + 3735936685*(z^~(~x&(~5543330405467440902|z))) + 18446744069973614931*(5543330405467440902^~(~x&(5543330405467440902|z))) + 18446744069973614931*(~5543330405467440902|(x^z)) + 18446744069973614931*(5543330405467440902^~(x|(5543330405467440902^z))) + 18446744069973614931*(x^(~5543330405467440902&z)) + 7471873370*(z^~(x|(5543330405467440902&z))),  3735936685*~x
3735936685*~(x^(y^6025719061002106808)) + 7711470092670284896*(x^(~y&6025719061002106808)) + 10735273981039266720*((x&y)|(x^(y^6025719061002106808))) + 10735273981039266720*(~(x|y)|~(y^6025719061002106808)) + 7711470096406221581*~(x&(y^6025719061002106808)) + 18446744069973614931*~(~x&(y^6025719061002106808)),  3735936685*~x
12297829379982409954*(y^~(~x|(y^946203227705693598))) + 3735936685*~(x&946203227705693598) + 12297829383718346639*~(x^(~y&946203227705693598)) + 6148914689991204977*~(~x&(y&946203227705693598)) + 6148914689991204977*(~(x|y)|~(y^946203227705693598)) + 12297829383718346639*(~x|(y&946203227705693598)) + 12297829383718346639*(~(x|~y)|(x^(y^946203227705693598))),  3735936685*~x
18446744069973614931*(z^(x|7206286789735988168)) + 18446744069973614931*(z^~(~x&(7206286789735988168|z))) + 6148914701199015032*(~z|(x^7206286789735988168)) + 6148914704934951717*(7206286789735988168^(x|(7206286789735988168^z))) + 18679683425*(z^(~x|(~7206286789735988168&z))) + 12297829379982409954*((x&7206286789735988168)|~(7206286789735988168|~z)) + 12297829387454283324*((x|7206286789735988168)&~(7206286789735988168^z)) + 12297829361302726529*((x^7206286789735988168)|~(x^z)),  3735936685*~x
13280760566456378042*~(x|(~y|6411470852564316092)) + 10331967021978220518*~(~x|(~y|6411470852564316092)) + 5165983507253173574*(6411470852564316092^~(x&~y)) + 5165983507253173574*~(y|~6411470852564316092) + 8114777055467267783*(y^~(x&~6411470852564316092)) + 13280760562720441357*(y^(x&6411470852564316092)) + 5165983514725046944*(~x|(~y&6411470852564316092)),  3735936685*~x
18446744069973614931*~(x|(~y|3696176607369864269)) + 7471873370*((x&y)^(y|3696176607369864269)) + 3735936685*(~(x&~y)&(x^(y^3696176607369864269))) + 3735936685*(y|(x&~3696176607369864269)) + 18446744066237678246*(3696176607369864269|(x^y)) + 3735936685*(~x|(~y|3696176607369864269)) + 18446744069973614931*(y|3696176607369864269),  3735936685*~x
18446744062501741561*(~x&(1587758685940986899&z)) + 7471873370*(x^(~1587758685940986899|z)) + 18446744066237678246*~(x^1587758685940986899) + 3735936685*(~(x&~1587758685940986899)&~(1587758685940986899^z)) + 3735936685*((1587758685940986899&z)|(~x&(1587758685940986899|z))),  3735936685*~x
11207810055*(~x&(y^2968117733437032912)) + 3735936685*((x&~y)|~(x^(y^2968117733437032912))) + 18446744069973614931*(y^(x|(~y&2968117733437032912))) + 18446744069973614931*(y^~(x|~2968117733437032912)) + 3735936685*(y&2968117733437032912),  3735936685*~x
12297829383718346639*(1623912378736437276^(x|(~1623912378736437276|z))) + 6148914697463078347*(z^(x&(1623912378736437276|z))) + 12297829387454283324*(z^~(x&1623912378736437276)) + 18446744069973614931*(1623912378736437276^~(x&(1623912378736437276|z))) + 12297829383718346639*(z^(~x&(~1623912378736437276|z))) + 12297829379982409954*(x|1623912378736437276),  3735936685*~x
18446744069973614931*(z^~(x&(~3245698180047748773&z))) + 18446744062501741561*~(x|~3245698180047748773) + 14943746740*(~3245698180047748773|(x^z)) + 14943746740*((x|~3245698180047748773)&~(3245698180047748773^z)) + 7471873370*((x|3245698180047748773)&(x^(3245698180047748773^z))) + 18446744051293931506*((x&3245698180047748773)|~(3245698180047748773|z)) + 11207810055*(3245698180047748773|~(x|z)) + 18446744062501741561*~(3245698180047748773&~z),  3735936685*~x
18446744069973614931*(x^5837064768226614269) + 18117446467207269668*(x&(5837064768226614269&z)) + 329297599030408578*(5837064768226614269^~(x&(5837064768226614269&z))) + 329297602766345263*(5837064768226614269&~(x&~z)) + 18117446478415079723*(~x|(~5837064768226614269|z)),  3735936685*~x
7471873370*(y&~6180143807439084103) + 14286239645781420749*(6180143807439084103^(~x|(y&6180143807439084103))) + 4160504427928130867*((x|y)&(y^6180143807439084103)) + 4160504431664067552*(y^(~x|(y|6180143807439084103))) + 14286239642045484064*((x|~y)&(y^6180143807439084103)) + 18446744069973614931*(6180143807439084103^~(x&(y&6180143807439084103))) + 3735936685*(~(x|y)|~(y^6180143807439084103)),  3735936685*~x
7471873370*~(x|6138097366280521360) + 18446744069973614931*(z^~(x&~6138097366280521360)) + 14943746740*(z&~(x&6138097366280521360)) + 18446744062501741561*(z^(x&6138097366280521360)) + 7471873370*((x&6138097366280521360)|~(6138097366280521360|z)) + 18446744058765804876*(6138097366280521360^~(x&z)) + 7471873370*(~z|~(x^6138097366280521360)),  3735936685*~x
14591071534364440270*~(x|~159331060875472970) + 14591071530628503585*~(x|(~159331060875472970&z)) + 3855672543081048031*~(x^(~159331060875472970&z)) + 14591071526892566900*(x&(~159331060875472970|z)) + 3735936685*(159331060875472970^~(x&(159331060875472970&z))) + 3855672543081048031*(159331060875472970^(x&~z)),  3735936685*~x
18446744066237678246*(x&(7295002582272184875^z)) + 4167244989612723978*(~(x&7295002582272184875)&~(x^(7295002582272184875^z))) + 4167244982140850608*(7295002582272184875&(x|~z)) + 7471873370*((7295002582272184875&~z)|~(~x|(~7295002582272184875&z))) + 18446744069973614931*(~(x|7295002582272184875)|(x^(7295002582272184875^z))) + 14279499080360890953*((x|7295002582272184875)&~(7295002582272184875^z)) + 4167244989612723978*(z^(x&~7295002582272184875)) + 14279499091568701008*(~x|(7295002582272184875|z)),  3735936685*~x
7471873370*~(x|(y|8192446431312260564)) + 18446744069973614931*(~8192446431312260564&~(x^y)) + 3735936685*~(y|~8192446431312260564) + 18446744069973614931*(x&8192446431312260564) + 3735936685*y,  3735936685*~x
